Similarity Score,Incident ID,Incident Title,Incident Description,Use Case ID,Use Case Name,Agency,Intended Purpose
0.738,115,"Genderify’s AI to Predict a Person’s Gender Revealed by Free API Users to Exhibit Bias","A company's AI predicting a person's gender based on their name, email address, or username was reported by its users to show biased and inaccurate results.",4399,"Low Probability of False Alarm (Low-Pfa) Algorithm for on-person screening.","Department of Homeland Security","The purpose is to reduce alarm rates while providing gender neutral detection which would increase passenger throughput and experience.  Utilizes Machine Learning (ML) to improve detection performance while decreasing alarm rates and passengers touch rates. The algorithm is gender agnostic which no longer requires officers to select a passengers gender prior to being scanned. AIT throughput and AIT utilization have increased with this new algorithm. Note: Once the algorithm is trained, it is loc"
0.737,735,"AI-Enabled Fraud Schemes Reportedly Increasing Consumer Harm and Challenging Detection","Scammers are reportedly using AI tools such as language models, voice cloning, and synthetic IDs to create more convincing frauds, leading to financial losses and identity theft. Banks have begun deploying AI-driven verification tools to counter these schemes, but experts warn that AI-enabled fraud continues to cause real-world harm and remains difficult to detect.",4397,"MiX Indicators","Department of Homeland Security","Online news and other open-source media can be used to quickly detect and respond to emerging health security threats. However, it is not practical for people to read and scan all online news stories every day for key terms. AI/ML makes it possible to read, digest and organize news stories to look for key threat terms. AI/ML will also be used to predict normal trends in news stories. This makes it possible to detect when an unusual number of health security threat terms are found in the news. Th"
0.737,761,"TikTok AI System Used to Amplify Election Disinformation by Foreign Networks","AI-generated misinformation on TikTok, driven by foreign networks, has flooded the platform with false narratives about the 2024 U.S. presidential election. Thousands of videos spreading political lies were identified, potentially influencing millions of users. Despite TikTok’s efforts to remove these accounts, the AI-driven disinformation campaign continues to challenge the integrity of the election.",5394,"Using AI to detect information manipulation","United States Agency for International Development","To detect narratives and trends in social media alterations of images and video in order to identify information manipulation."
0.737,1210,"Malicious Nx npm Packages Reportedly Weaponize AI Coding Agents for Data Exfiltration","Malicious versions of the popular Nx monorepo tool and plugins were reportedly published to npm after attackers compromised its CI workflow. The malware's postinstall script reportedly harvested credentials and exfiltrated data, reportedly weaponizing local AI coding agents such as Claude Code, Gemini, and Amazon q. By invoking unsafe flags, it allegedly coerced the tools into scanning developer machines for sensitive files, marking one of the first known AI-assisted supply chain attacks.",4287,"API Security Vulnerability Technology","Department of Homeland Security","With the necessity of leveraging application programing interfaces (APIs) for applications across the enterprise, this AI technology is intended to run thousands of custom attack scenarios against APIs on a continuous basis. This will help to identify potential security vulnerabilities prior to production level deployments, and enable the enterprise to develop essential remediations, if required.  Additionally, the techonlogy is intended to provide continuous monitoring on APIs to provide real-t"
0.737,744,"AI Work Assistants Require More Effort Than Expected, CIOs Say","AI work assistants, such as Copilot for Microsoft 365 and Gemini for Google Workspace, are proving to be more labor-intensive than anticipated for enterprises. CIOs report that these AI tools struggle with outdated or inaccurate data, leading to incorrect outputs. Companies are finding they must invest heavily in data management to ensure reliability. This added effort has led to delays in deployment and frustration, as businesses work to maximize the potential of these expensive AI tools.",5189,"Copilot for Microsoft 365","Office of Personnel Management","Copilot for Microsoft 365 is an AI-powered addition to the Microsoft 365 suite that helps users be more productive and creative by working with Microsoft 365 apps and services. It uses large language models (LLMs) and integrates with a user's data and Microsoft Graph. Here are some of the ways that Copilot can assist OPM users in Microsoft 365: •	Summarize  •	Draft  •	Analyze data  •	Create, edit, and share •	Automate tasks  •	Suggest ideas  •	Personalize"
0.737,40,"COMPAS Algorithm Performs Poorly in Crime Recidivism Prediction","Correctional Offender Management Profiling for Alternative Sanctions (COMPAS), a recidivism risk-assessment algorithmic tool used in the judicial system to assess likelihood of defendants' recidivism, is found to be less accurate than random untrained human evaluators.",6182,"Prisoner Assessment Tool Targeting Estimated Risk and Needs (PATTERN)","Department of Justice","Purpose: This tool, developed by OJP, uses pre-defined rules to score an inmate's recidivism risk level.  Expected benefits: PATTERN provides a standardized approach to calculating a recidivism risk level."
0.737,173,"AI Tools Failed to Sufficiently Predict COVID Patients, Some Potentially Harmful","AI tools failed to sufficiently predict COVID patients, some potentially harmful.",5817,"Using AI to enhance/augment classification of reported patient safety events, and to proactively identify patient safety vulnerabilities and potential areas of improvement","Department of Veterans Affairs","This system allows statisticians to identify trends and anomalies to proactively determine patient safety areas of improvement by identifying any new type of safety event and any abnormal increase in frequency of events and stop them before they become widespread."
0.737,704,"Study Highlights Persistent Hallucinations in Legal AI Systems","Stanford University’s Human-Centered AI Institute (HAI) conducted a study in which they designed a ""pre-registered dataset of over 200 open-ended legal queries"" to test AI products by LexisNexis (creator of Lexis+ AI) and Thomson Reuters (creator of Westlaw AI-Assisted Research and Ask Practical Law AI).  The researchers found that these legal models hallucinate in 1 out of 6 (or more) benchmarking queries.",6131,"Westlaw (AI assisted legal research)","Department of Justice","Purpose: Performing legal research.  Expected benefits:  Improving accuracy and efficiency of legal research. "
0.737,672,"'Lavender' and 'The Gospel' AI Systems Reportedly Used in Gaza Targeting Operations with Civilian Harm Allegations","The AI system known as ""Lavender"" was reportedly used by the Israel Defense Forces (IDF) to assist in identifying individuals in Gaza for targeting, while a related system, ""The Gospel,"" was reportedly used to help select and prioritize physical strike targets. Investigations reportedly suggest that these systems operated with limited human review and may have contributed to strikes associated with high civilian casualties. The extent of automation with human oversight, as well as the accuracy o",5436,"AI for humanitarian logistics","United States Agency for International Development","Handicap International: Uses AI to create an operational decision support tool based on the automatic analysis of field data. This tool will enable aid providers to develop optimized strategies in the Cabo Delgado and Nampula regions. Models a logistical environment (warehouses, airports, hospitals, schools, etc.) through their interactions, thus forming a complex network. Enables a better understanding of the complex interactions between all the network's constituents. Funded through Humanitari"
0.736,841,"Purportedly AI-Manipulated Video Allegedly Targets Moldovan Economic Development Minister Dumitru Alaiba in Election Disinformation Campaign","A purportedly AI-manipulated video and some photos circulated online depicting Moldova's Economic Development Minister, Dumitru Alaiba, in compromising situations as part of an alleged disinformation campaign by pro-Kremlin supporters, one that has been reported to rely on AI to generate fake content. Alaiba reportedly denounced the purported synthetic media as having been released to mislead the public and influence Moldova's elections by undermining his reputation and the government's pro-Euro",5383,"AI analysis of Moldova's media content and social media landscape","United States Agency for International Development","This project utilizes AI to provide analysis of Moldova's media landscape, focusing on narrative framing techniques in both Romanian and Russian-language media and social media. The goal of this application is situational awareness and strategic communications planning, not content removal or blocking."
0.736,535,"COVID-19 Detection and Prognostication Models Allegedly Flagged for Methodological Flaws and Underlying Biases","Peer-review of papers about COVID-19 detection and prognostication algorithms from 2020, including deployed models, revealed none to be ready for clinical use, due to methodological flaws and underlying biases such as lacking external validation or not specifying data sources and model training details.",5946,"Implementation of a Severe COVID-19 Risk Prediction Tool","Department of Veterans Affairs","The project seeks to implement a Severe COVID-19 Risk Prediction Tool to effectively identify Veterans at higher risk of developing severe COVID-19 symptoms through a machine-learning model to address one of the key barriers to increased vaccination offerings identified, i.e., the lack of tools for assessing risk of severe disease progression and potential vaccination benefit. It is expected by facilitating the estimated risk for severe COVID-19 progression, as well as a patient's current vaccin"
0.736,1104,"AI Chatbot Allegedly Used to Research Explosive Materials in Palm Springs Fertility Clinic Bombing","An unnamed AI chatbot was reportedly used by Guy Edward Bartkus and Daniel Park, the perpetrators of the 2025 Palm Springs fertility clinic bombing, to research explosive materials and optimize fuel mixtures. Records show the chatbot responded to queries related to ammonium nitrate fuel oil (ANFO) composition. The bombing resulted in one death, four injuries, and significant structural damage.",5768,"Smart AI Bot Assistant","Department of Veterans Affairs","A machine learning and natural language processing algorithm will be trained to provide real-time prompts of resources to improve the quality of crisis calls for the Veterans Crisis Line (VCL). Curated, vetted resources will be prompted by keywords for responders to consider during a crisis call. Natural language processing will be used to listen and document during and after the call, organizing the documentation to include topic areas and key points. This will decrease the time spent on docume"
0.736,1125,"Reported Use and Circulation of AI-Generated Misinformation and Fake Victim Visuals After Air India 171 Crash","Following the June 12, 2025 crash of Air India Flight 171, bad-faith actors reportedly used generative AI to produce fake videos and images misrepresenting victims and dramatizing the event. These AI-generated fakes spread widely on social media during the investigation delay, reportedly confusing even aviation professionals and misleading the public. Experts warned that the misuse exploited the grief of victims' families and amplified misinformation about the tragedy.",4964,"Using generative AI to gain insight of older adult falls","Department of Health and Human Services","This solution will impact the process of extracting information from medical narratives   Traditional methods of data and information extraction from medical narratives involve manual scrutiny and the use of rule-based models. These methods are time-consuming and can overlook crucial details. By utilizing generative AI, a more comprehensive understanding of the circumstances surrounding injuries from falls can be achieved. Understanding the specific causes, circumstances, and outcomes of falls c"
