Use Case ID,Use Case Name,Agency,Bureau/Component/Division/Branch,Contact Name,Contact Email Address,Use Case Topic Area,Is the AI use case found in Appendix B’s list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Stage of Development,"Is the AI use case rights-impacting, safety-impacting, both, or neither?"
DOJ-0178,FOIA.gov Virtual Assistant ,Department of Justice,JMD,DOJ Chief AI Officer,AI@usdoj.gov, Mission-Enabling (internal agency support),None,"Purpose: The FOIA.gov Virtual Assistant Tool implements a guided workflow or wizard assisting the public in navigating the National FOIA Portal (NFP).  The solution assists in directing the public to documents agencies have made available in the public domain, to the correct agency component to submit a FOIA request, and to other content on FOIA.gov, depending on the user’s desired goal.

Expected benefits: The solution helps requesters and agencies by enabling the public to find the records they are seeking without the need for a FOIA request, by lessening the number of misdirected requests, and by reducing the need for agencies to respond to unnecessary or misdirected requests.","The solution gives a recommendation to the user on which agency to submit a FOIA request to, or whether the desired information is already available. Users are free to ignore the recommendations and submit FOIA requests to any agency they choose.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0179,Savan Group Intelligent Records Consolidation Tool ,Department of Justice,JMD,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: This AI and Natural Language Processing (NLP) tool is used to assess the similarity of records schedules across all Department records schedules.  The solution's technical approach has applicability with other domains that require text similarity analysis.

Expected benefits: The tool provides clusters of similar items to significantly reduce the time that the Records Manager spends manually reviewing schedules for possible consolidation.","An AI powered dashboard provides recommendations for schedule consolidation and review, while also providing the Records Manager with the ability to review by cluster or by individual record. ",Retired – The AI use case has been retired or is in the process of being retired.,Neither
DOJ-0180,Veritone,Department of Justice,NSD,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: NSD uses Veritone to transcribe and translate written, audio, and video files.  A standard workflow is our office receiving the media from the case team, we load it to the gov cloud, use one of the available Veritone engines to perform the transcription and/or translation, download the results, and provide back to the case team.

Expected benefits: Veritone is used to translate and transcribe non-English language audio for attorney review. This machine translation does not constitute an official record, but is a tool to allow initial review of the audio by the attorney. Veritone is also used to provide English language translations of large sets of documents containing non-English text in order to get an initial idea of the document contents and do not replace official translation of evidence. ",For text files that are transcribed into English the output contains the translated text. For Audio and video files a text file transcribing the translation is created as well as a closed captioning file.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0181,Salesforce,Department of Justice,NSD,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: CRM Analytics Plus provides contextual insights and AI-powered predictions and insights to drive engagement and focus directly in the flow of work in Salesforce. Drive outcomes at scale and get answers to inform your next best action with intelligent recommendations for every line of business or industry. This license also includes AI features, which are not in use at this time.

Expected benefits: NSD procured CRM Analytics Plus licenses for the use of Tableau for reporting.",No output. AI features not in use.,Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,Neither
DOJ-0182,Cyber Network Analysis for OCDETF MIS ,Department of Justice,OCDETF,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Capture existing baseline network configuration and behavior with associated ports, protocols and services. Analyze the traffic and characterize normal ports, protocols and services. Identify any outliers and/or anomalous traffic. 

Expected benefits: Proactive monitoring, detection, and response to possible malicious activity which could disrupt OCDETF services. Also, this capability will allow OCDETF to protect the data from any malicious activity.","Recommendation
Summary of ports, protocols and services in use within the network compared to defined network traffic, ports, protocols and services. The comparison displays the difference and identifies outliers as a recommendation to investigate for possibly malicious or anomalous activities.",Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage."
DOJ-0183,Cyber Network Analysis for OCDETF Oak Island  ,Department of Justice,OCDETF,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Capture existing baseline network configuration and behavior with associated ports, protocols and services. 

Expected benefits: Proactive monitoring, detection and response to possible malicious activity which could disrupt OCDETF services. Also, this capability will allow OCDETF to protect the data from any malicious activity.","Recommendation
Summary of ports, protocols and services in use within the network compared to defined network traffic, ports, protocols and services. The comparison displays the difference and identifies outliers as a recommendation to investigate for possibly malicious or anomalous activities.",Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage."
DOJ-0184,Enhanced Proactive Financial Analysis Techniques for Fusion Desktop ,Department of Justice,OCDETF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Deploys predictive analytics to enhance recognition of, and highlighting of, fraudulent financial activity across OFC financial and criminal holdings. This is a “PATT 3.0” process that is similar to the work being done to analyze suspicious activity reports (SARs) across federal judicial districts, currently done 1 district at a time with a manual stand-up by the OFC Search team and review by the OFC FAS, but generalized and upscaled. 

Expected benefits: Improve efficiencies by identifying and prioritizing financial fraud activity tied to open criminal investigations by including a broader data set and across multiple judicial districts to develop a better whole-of-US picture of financial fraud.",List of subjects with open criminal investigations which would be worth additional manual review for financial ties.,Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage."
DOJ-0185,FinCEN SAR Summarization  ,Department of Justice,OCDETF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Analyze suspicious activity reports (SAR) using generative AI functionality.  

Expected benefits: Speed up production times for providing investigative support to the field. It also allows investigative analysts to have more bandwidth to do some deeper analysis.  ",Summarization of applicable FinCEN suspicious activity reports (SARs).,Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage."
DOJ-0186,Generation of Graphs and Charts for OCDETF applications,Department of Justice,OCDETF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Create charts and graphs by describing the requested data to integrate.

Expected benefits: Charts and graphs aide in reporting of OCDETF investigations. Enabling this technology will  tremendously reduce the time which was used for formatting traditional Microsoft products.","Recommendation
Provide sample data to create charts and graphs to populate",Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,Neither
DOJ-0187,Generation of Large Test Data Sets for OCDETF applications  ,Department of Justice,OCDETF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Using generative AI modeling, we will create large volumes of test data so that QA, external audits and penetration testing, system demos & integration, etc., can use that generated test data at scale.  

Expected benefits: OCDETF developing and operating with a test set of data will enable engagements with external groups (like penetration test team, or vendors who want to see what the system looks like so they can offer a tailored demo or proposal). But manual generation of test data at the scale needed is not feasible, so we would rely on generative AI.","Test Data
Sample and/or mockup of test data from the applications used within the environment",Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,Neither
DOJ-0188,Machine Learning for Decision Support for Fusion Desktop  ,Department of Justice,OCDETF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: To take into account various criteria such as analyst workloads, similarities in case narratives and targets, and regional factors to suggest the optimal routing and assignment for product requests.  

Expected benefits: Improve efficiencies in routing request for OFC Products to send to the analysts and/or analytic units most suitable for working the product. Reduce rework and streamline the approvals process by suggesting agency approvers based on automated review of the product's content and ensuring all appropriate agencies are consulted for manual review.",Suggested assignment / routing for OFC Product Requests (e.g. to an analytic unit or specific analyst). Suggested approver assignments based on referenced agency data.,Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage."
DOJ-0189,Machine Learning for Decision Support for OCDETF MIS  ,Department of Justice,OCDETF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Identify proposed OCDETF investigations for prioritized review, approval, and potential case designation based on success criteria trained from the entire OCDETF MIS corpus.  

Expected benefits: Improve efficiencies in routing OCDETF proposals through the workflow to receive OCDETF designation. Identify the best use of resources through ML trained on investigations matching emerging threats.",Lists of proposed OCDETF investigations in prioritized order.,Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage."
DOJ-0190,Narrative Analysis for OCDETF Fusion Desktop ,Department of Justice,OCDETF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Will create summaries or precis from large volumes of text narratives submitted on OCDETF forms, for both information triage and trend analysis / emerging threat detection purposes. Gen AI would also allow interactive queries (e.g. you ask it questions) about the data it has summarized, and would be transparent (with citations of underlying data as needed). 

Expected benefits: Provide rapid review of information submitted as data ingested into the Fusion Desktop database. This will reduce the time necessary during data entry and review and will provide guidance on emerging threat areas which OCDETF may use to determine resource allocation or areas for additional study.","Summary of long narrative text (on a per form basis). Summary of trends common across multiple forms' narrative texts; e.g. if ""liquid fentanyl"" is a topic identified in multiple narratives over a short period of time in a specific OCDETF Region, it could indicate an emerging threat to follow up on.",Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage."
DOJ-0191,Narrative Analysis for OCDETF MIS,Department of Justice,OCDETF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Will create summaries or precis from large volumes of text narratives submitted on OCDETF forms, for both information triage and trend analysis / emerging threat detection purposes. Gen AI would also allow interactive queries (e.g. you ask it questions) about the data it has summarized, and would be transparent (with citations of underlying data as needed).

Expected benefits: Provide rapid review of information submitted on OCDETF forms, including Investigation Initiation Forms (IIFs) and interim and final updates on open investigations. This will reduce the time necessary during data entry and review for OCDETF forms and will provide guidance on emerging threat areas which OCDETF may use to determine resource allocation or areas for additional study.","Summary of long narrative text (on a per form basis). Summary of trends common across multiple forms' narrative texts; e.g. if ""liquid fentanyl"" is a topic identified in multiple narratives over a short period of time in a specific OCDETF Region, it could indicate an emerging threat to follow up on.",Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage."
DOJ-0192,Train ML on Intelligence Analyst Best Practices,Department of Justice,OCDETF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Train AI on exemplary analyst work to suggest course of action to all analysts while they perform product research and development. 

Expected benefits: Improve efficiencies in developing OFC Products by providing decision support and limited automation by ML trained on exemplar analysts at the OFC. Provides guidance and suggestions particularly for resource-intensive actions, like conducting open source, commercial, or offline (swivel-chair) searches of data sets outside the OFC.",Suggested actions at each phase of OFC Product development workflow.,Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage."
DOJ-0193,Azure AI Speech to Text Managed Service - Voice Transcription to Text,Department of Justice,OIG,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Transcribe an audio file recordings to output a text transcript of the multiple speakers in the recording. A human validates the accuracy of transcriptions, and this tool is not used in investigations.

Expected benefits: Efficiency and cost savings. Individuals will spend less time and materials to fully process a recording and will deliver transcriptions sooner.",Text file with transcription of speakers within the recording.,Implementation and Assessment – The AI system associated with the use case is currently undergoing functionality and security testing.,Neither
DOJ-0194,Azure OpenAI Services - Analysis of audit reports,Department of Justice,OIG,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Analyze draft reports and provide content recommendations in compliance with published standards, guidance, and rule books.  The published standards, guidance, and rule books may define formatting, characteristics of a good report, quality guidelines, requirements, internal controls, and generally accepted principles for an area of work.  Reports and all substantive content are authored by humans, not by AI.

Expected benefits: Quicker turn around for creating reports, analysis of reports to ensure consistency in content and removal of redundancy, and to assist in the management of report length.","Suggested phrases to reword a paragraph and/or identification of errors in statements as they align towards defined standards, guidance, or rule books.","Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.","No, use case is too new to fully assess impacts; will be reassessed before end of acquisition and development stage."
DOJ-0195,Azure OpenAI Services - Component-specific chatbot service,Department of Justice,OIG,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Provide human-like conversational responses to conduct general information searches and suggestions towards improving text using generative artificial intelligence.

Expected benefits: Improve work efficiencies and curve user generative AI usage to an environment that is controlled and contained within GCCH and the DOJ OIG subscription instead of a commercial service.  The information and models generated within the GCCH environment stays within GCCH and do not further the model of commercial products or services.","The AI provides generative AI human-like responses/answers to questions and/or statements from a user.  In addition, the output can be a generated summary of an inputted excerpt or publicly available information.",Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage."
DOJ-0196,Dragon,Department of Justice,OIG,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: The application is speech recognition software that initiates commands on a device or takes dictation into a word processing application.  The application is used for individuals with reasonable accommodations related to and/or difficulty typing, seeing, or navigating a Windows operating system environment.

Expected benefits: Increased accessibility.",Dictation of spoken words into a word processing document or initiation of macro commands in the Windows operating system environment.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0197,Informatica - CLAIRE ,Department of Justice,OIG,DOJ Chief AI Officer,AI@usdoj.gov, Mission-Enabling (internal agency support),None,"Purpose: The Informatica Enterprise Data Catalog with CLAIRE is an AI-powered data catalog that provides a machine-learning-based discovery engine to scan and catalog data assets across OIG. CLAIRE will be used to categorize, classify, and organize OIG data. It will also automate the data curation and connect data across OIG from disparate sources, and will track data movement from system views to column-level lineage. 

Expected benefits: Increases the efficiency and effectiveness by which OIG can locate and analyze our data.",Recommendations about OIG data,Implementation and Assessment – The AI system associated with the use case is currently undergoing functionality and security testing.,Neither
DOJ-0198,Nlets Nationwide License Plate Reader Pointer Index,Department of Justice,OIG,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Law enforcement usage of Optical Character Recognition (OCR) to assist with license plate reading under DOJ Policy.  LPR data is managed and maintained by other entities for law enforcement purposes.

Expected benefits: Law enforcement usage of Optical Character Recognition (OCR) to assist with license plate reading under DOJ Policy.","DOJ's National Crime Information Center (JWIN) facilitates access to the Nlets Nationwide License Plate Reader Pointer Index, which provides access to states and/or federal agencies that maintain their own LPR repositories. LPR data is managed and maintained by other entities for law enforcement purposes.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0199,Axon,Department of Justice,OIG,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Archival capture of raw video and audio footage that are accessed only to the extent needed for prosecution or investigation purposes.  AI functionalities for analysis, voice transcription, and redaction are not utilized or relevant for our use.

Expected benefits: This use case does not utilize AI functions.  AI features are included in the product, but have not been installed and not relevant for our use.",N/A; AI features not in use,"Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.",Rights Impacting
DOJ-0200,SAS Enterprise Miner - Grant risk assessment model,Department of Justice,OIG,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: To estimate a financial assistance award’s questioned costs during an audit.

Expected benefits: Provide auditors with an additional resource in performing risk assessments that assist in the audit selection process. Allowing auditors to focus work on higher-risk grants can allow for the recovery or redirection of misused government funds and improve auditor effectiveness and efficiency.",Estimated questioned costs resulting from an OIG audit.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0201,MACO Project: Law Enforcement CAD Data Autocoder,Department of Justice,OJP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The purpose of this AI use case is to develop a standardized approach to analyzing computer-aided dispatch (CAD) data from various law enforcement agencies. Due to the current lack of standardization in how these data are collected, the aggregation of police activity across agencies is limited and not scalable. By leveraging machine learning and large language models, the project aims to create a text classifier that standardizes raw CAD data, enabling comprehensive comparisons of police activities and community needs across jurisdictions with the goal of providing national estimates of calls for service. 

Expected benefits: The ability to standardize and better leverage agency CAD data has implications for the individual agencies, state and federal government, and the research community. From an operational perspective, use of this tool will allow for the more efficient organization of data within the agency as well as the ability to compare across agencies regionally or at the state level to compare police activity and community needs. The standardization schema and the tool's translation of data into this format serves as a shared language that can allow for jurisdictional comparisons not before possible at scale. From the DOJ's perspective, a nationally representative police CAD dataset supplements NIBRS to provide an understanding of patterns in activity not captured by NIBRS and includes police activity beyond the scope of traditional crime measures. Likewise, for the public and research community, previous understandings of police activity, how they spend their time, and issues across communities have been limited within jurisdictions. This project, supported by the AI tool, will provide an opportunity for a broader understanding of the work law enforcement does in communities.  ","The output of the autocoder is a classification prediction. In the context of event type, it takes raw text like 'shoplifting' runs the raw code through an LLM and predicts which of our established categories that event belongs in, in this case ""Property Crime: Theft"". The output of the packaged tool is a dataset with these classifications appended to the raw CAD file. ","Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.",Neither
DOJ-0202,"MS Streams Transcription ML Service - Meeting the Basic Needs of Crime Victims in Underserved Communities:
Piloting New Approaches to Support Victim Services",Department of Justice,OJP,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),Transcribing and summarizing a recorded meeting or interview using AI. ,"Purpose: A pilot OJP Office for Victims of Crime Notice of Funding Opportunity allowed video submissions of grant applications. MS Streams transcribed videos into scripts.

Expected benefits: MS Streams transcribed videos into scripts. Transcriptions helped reviewers speed up the review process.",The system outputs video transcriptions. These transcriptions informed recommendations for grant awards. ,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0203,Offense Text Auto-Coder (OTAC) - Automated offense coder from offense charge text strings used for the BJS National Pretrial Reporting Program,Department of Justice,OJP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The purpose of this tool is to improve description and comparability of offense charges across jurisdictions. When using justice administrative data from various jurisdictions (localities, states, and federal), the way offenses are described (i.e., the exact text strings used) vary greatly. For example, assault and battery may be spelled out, or abbreviated in novel ways such as A&B, A & B, A+B, A?B, battery & aslt, etc. This tool is used to facilitate grouping identical concepts under one common set of offense codes. The data that BJS makes available will be aggregated or deidentified.

Expected benefits: Improved comparisons of criminal justice data",The output of this autocoder is common definitions for offense charge classification. It has been trained on an offense crosswalk for the BJS National Corrections Reporting Program (NCRP) (https://www.icpsr.umich.edu/files/NACJD/ncrp/Offense_Code_Crosswalk.xlsx) to convert plain-text offense descriptions into classifications routinely used by the NCRP.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0204,Prisoner Assessment Tool Targeting Estimated Risk and Needs (PATTERN),Department of Justice,OJP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: This tool was developed in response to Section 3632 of the First Step Act of 2018 which required the Attorney General to develop and release a risk and needs assessment system. PATTERN predicts the likelihood of recidivism for individuals three years after release from FBOP custody.

Expected benefits: The tool provides critical information to FBOP about the risk of recidivism and possible programming needs for their population.",Prediction of the risk of recidivism,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0205,Rapid Offense Text Autocoder (ROTA) - Automated offense coder from offense charge text strings used for the BJS Criminal Cases in State Courts,Department of Justice,OJP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The purpose of this tool is to improve description and comparability of offense charges across jurisdictions. When using justice administrative data from various jurisdictions (localities, states, and federal), the way offenses are described (i.e., the exact text strings used) vary greatly. For example, assault and battery may be spelled out, or abbreviated in novel ways such as A&B, A & B, A+B, A?B, battery & aslt, etc. This tool is used to facilitate grouping identical concepts under one common set of offense codes. The data that BJS makes available will be aggregated. 

Expected benefits: Improved comparisons of criminal justice data.",The output of this autocoder is common definitions for offense charge classification. It has been trained on an offense crosswalk for the BJS National Corrections Reporting Program (NCRP) (https://www.icpsr.umich.edu/files/NACJD/ncrp/Offense_Code_Crosswalk.xlsx) to convert plain-text offense descriptions into classifications routinely used by the NCRP.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0206,Research Abstract Screening for CrimeSolutions,Department of Justice,OJP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Use natural language processing, machine learning, and artificial intelligence processes developed by a contractor to aid in screening abstracts of newly identified evaluation research for consideration in future program ratings. 

Expected benefits: This provides a more efficient method for screening large numbers of research/program evaluation study abstracts to help identify those that are appropriate for further review and analysis in producing CrimeSolutions profiles and evidence ratings.  ",The output is a classification prediction indicating that individual abstracts pertain to studies that meet basic parameters for inclusion and further human review.  ,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0207,Veritone Illuminate,Department of Justice,OPR,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The purpose of the AI software (Veritone) is to transcribe or translate recordings into speaker separated conversations.

Expected benefits: Using Veritone’s AI transcription is expected to save OPR substantial amounts of money compared to our prior, routine use of court reporters to transcribe audio recordings of investigative interviews.  In addition, human transcription of OPR’s audio recorded interviews typically has a two to three week turnaround to receive the transcripts back from the court reporters.  The Veritone Illuminate AI software generates transcripts within a matter of hours.  The quicker turnaround on transcription allows OPR to more efficiently and promptly complete its investigations.",The output are written transcriptions of  recorded interviews which is used as an aid in the decision making of a investigation.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0208,Adobe,Department of Justice,PAO,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Adobe has function that enables the generation of images. PAO does not use this function/feature.

Expected benefits: PAO does not use this feature/function.","Images, if feature were in use","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0209,EEG - Live Captioning,Department of Justice,PAO,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: EEG provides real-time captioning of live events that PAO broadcasts.

Expected benefits: Greater accessibility. Compliance with law; Section 508 requires live captioning of live events, and this provides it. ",Captions,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0210,Hootsuite,Department of Justice,PAO,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),Scheduling and managing social media posts using AI. ,"Purpose: PAO uses Hootsuite to schedule and manage social media products. Hootsuite also includes AI-powered social listening features, but PAO does not use those features.

Expected benefits: It can advise on when the best time to post would be for maximum engagement, which will help promote our message.",Recommendations about date and time to publish content,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0211,Social Media Products,Department of Justice,PAO,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Social media platforms used by PAO, such as Instagram and YouTube, can automatically create video captions or alt text for images/graphics when multimedia is uploaded.

Expected benefits: Greater accessibility.",It generates captions or alt text automatically in the social media platform.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0212,Veritone Digital Media Hub ,Department of Justice,PAO,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: The Veritone Digital Media Hub includes AI features that allow PAO to search our event photo databases and identify objects in those photo catalogs.

Expected benefits: Increased efficiency of searches of archival images so that PAO can find and continue using assets.",Recommendations of images that match the terms searched for,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0213,Lexis Nexis (People Search),Department of Justice,PARDON,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,Searching for information using AI.,"Purpose: Allows the retrieval of personal data for an individual such as historical addresses.

Expected benefits: Improve the accuracy and comprehensiveness of a clemency applicant's personal data.",Summary,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0214,LexisNexis (AI assisted legal research),Department of Justice,PARDON,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,Searching for information using AI.,"Purpose: Allows the retrieval of court cases and briefings.

Expected benefits: Improve accuracy and understanding of the legal issues associated with a clemency application.",Summary,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0215,Pacer Search,Department of Justice,PARDON,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,Searching for information using AI.,"Purpose: Allows the retrieval of court cases when there are security concerns associated with a clemency application.

Expected benefits: Improve accuracy and understanding of the legal issues associated with a clemency application.",Summary,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0216,Westlaw (AI assisted legal research),Department of Justice,PARDON,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,Searching for information using AI.,"Purpose: Allows the retrieval of court cases and briefings.

Expected benefits: Improve accuracy and understanding of the legal issues associated with a clemency application.",Summary,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0217,Westlaw (People Search),Department of Justice,PARDON,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,Searching for information using AI.,"Purpose: Allows the retrieval of personal data for an individual such as historical addresses.

Expected benefits: Improve the accuracy and comprehensiveness of a clemency applicant's personal data.",Summary,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0218,Salient Factor Score,Department of Justice,PAROLE,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The Salient Factor Score is an actuarial risk assessment device designed in the 80's and last updated in 1998 which is based entirely on pre-incarceration factors, including prior criminal history, nature of the instant offense, age at the instant offense, and other factors.

Expected benefits: Helps assess the likelihood of success on parole.  This is one of several factors.",Score,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0219,ProLaw ,Department of Justice,PRAO,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: ProLaw assists PRAO attorneys in searching a large quantity of prior PRAO inquiries and advice stored in a database to identify relevant historical inquiry files that will assist the attorneys in determining how PRAO has advised on similar matters in the past.  

Expected benefits: ProLaw enables PRAO to store digitally all PRAO inquiry files, consistent with the component's records retention schedule.  ProLaw also enables PRAO personnel to quickly search large quantities of inquiry files to identify relevant historical inquiries and advice to a current matter a PRAO attorney is working on.  This greatly reduces the amount of time it takes PRAO staff to research which then reduces the wait time of the Department attorney who has requested PRAO advice.  Because ProLaw allows PRAO to store records digitally, it also provides a significant government cost savings in the amount of money paid to store hard copy records.","ProLaw's output is information.  Specifically, PRAO uses ProLaw to identify all of the digital inquiry files in the database that are consistent with the user's selected search query.  For example, it might help a user to identify all PRAO inquiry files between the dates of January 1, 2023, and December 31, 2023, that discuss New York Rule of Professional Conduct 4.2 and the use of the case United States v. Nouri, 711 F. 3d 129. ","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0220,AWS Transcribe,Department of Justice,TAX,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: TAX sometimes receives audio or video for review without a text transcript.  Much of the time, TAX uses human transcription vendors to transcribe the audio to text; however, if the volume is significant, TAX might use the AWS service to transcribe to text so that it is keyword-searchable and a rough version can be evaluated by the reviewer, and it can be determined if a certified version is required.

Expected benefits: Neural machine transcription that converts audio to text.
",Transcribed text.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
