usecaseid,usecasename,flexibleselection13,shorttext14,flexselect16,shorttext161,flexibleselection39,richtext18,richtext19,flexselect110,flexibleselection1101,richtext1102,flexibleselection112,flexselect112,shorttext21,shorttext22,shorttext23,shorttext24,flexibleselection25,shorttext26,flexibleselection27,flexibleselection28,flexibleselection42,flexibleselection29,shorttext210,flexibleselection211,flexibleselection212,FlexibleSelection31,richtext441,richtext32,flexibleselection33,flexibleselection34,richtext13,flexibleselection35,flexibleselection36,publiccodelink361,flexibleselection41,systemname42,flexibleselection43,flexibleselection44,shorttext10,flexibleselection45,richtext5111,flexibleselection46,richtext512,flexibleselection47,flexibleselection48,flexibleselection51,rmflexibleselection52,rmflexibleselection53,rmrichtext54,rmflexibleselection55,rmflexibleselection56,rmflexibleselection57,,flexibleselection58,richtext451,flexibleselection59,richtext510,flexibleselection511,richtext461,flexibleselection512,richtextfallbackother,flexibleselection37,richtext14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108420,Mendenhall postdoctoral fellow using machine learning,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"The Global Marine Minerals Project, with the Coastal and Marine Hazards and Resources Program, currently employs a Mendenhall postdoctoral fellow who is using a machine learning approach to predict the composition of seafloor massive sulfide deposits. The fellow proposed this work in their submission in 2023, which was accepted for funding. They are currently executing the work and preparing publicaitons.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108419,Critical Mineral Assessment with AI Support (CriticalMAAS),Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"An AI-assisted workflow could enable the USGS to accomplish its mission, produce high-quality derivative products from raw input data, and deliver timely assessments that reduce exploration risk and support decisions affecting the management of strategic domestic resources.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108297,Shoreline modeling,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"We're trying to evaluate the prospect of using AI/ML methods/models (e.g., LSTM, CNN, Transformers) to predict shoreline evolution and compare their accuracy to traditional physics-based models.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108285,Cell Phone Application for Oil Spill Detection,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,We would like to develop a model that can be used to interpret cell phone images to predict oil in environmental samples. The tool can be rapidly deployed for use in the field by the oil spill responder community.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108262,Wave runup and total water level observations from time series imagery at several sites with varying,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Tool is used for separation (segmentation) of land and water in images. The resulting mask is used to calculate water levels. Tool will be used to compare to forecasted water levels and may be displayed on USGS webpages,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108257,Development of a Ploidy Distinction Application: A Machine Learning Approach for Discriminating Trip,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"A machine learning approach is being researched as a way for fisheries personnel in the field to determine the ploidy of wild-caught invasive carp. The use of machine learning in biomedical imaging accumulates substantial volumes of data via digital images, applies computational tools for processing these data, and can combine images from various microscopes by enhancing and equalizing image resolution. Thus, a computational model was trained with selected brightfield microscopic images of whole blood smears made from known diploid and triploid Grass Carp. Digital images were generated by using two types of microscopes: (1) a laboratory-dedicated, high caliber scope, and (2) a portable microscope meant for use in the field.",see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108225,Storm Induced Erosion Response Network,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Provide the next generation of Total Water Level and Coastal Change Forecast,see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108223,Coastal Ecosystem Prediction System,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"The USGS is partnering with NOAA National Centers for Coastal Ocean Science to co-develop an integrated, national-scale framework for projecting wetland vulnerability to sea level rise. Multi-model ensemble predictions will show a range of possible future conditions and inform the protection of coastal communities, economies and their natural resources.",see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108149,National Wildlife Disease Database,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"The National Wildlife Health Center (NWHC) has contracted the Pacific Northwest National Laboratory (PNNL) to build a national wildlife disease database (NWDD).  Funded through the American Rescue Plan Act of 2021 (ARPA), the NWDD will bring together various wildlife health data streams across informational domains (i.e., laboratory results, environmental observations, news media, etc.) to provide situational awareness and advanced analytics to natural resource authorities around the country.  As part of the NWDD, PNNL plans to integrate their Canvas software.  Canvas is a machine learning, AI, and data science tool that can visualize and contextualize information from one or more sources.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108118,Sediment Transport in Coastal Environments (funded by San Francisco Bay-Delta PES),Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Machine learning based time-series imputation of oceanographic time-series,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108117,"Machine learning based shoreline time-series imputation, classification and forecasting (time-series",Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Supports basic data generation and QC/QA procedures, for large scale and short-term forecasting of shoreline trends",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108018,National Oceanographic Partnership Program (NOPP),Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Machine Learning based coastal sediments assessment and prediction,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108017,RSCC and TCA projects.,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Machine Learning (ML) methods for identifying, assessing, and quantifying coastal features and habitats and coastal change hazards.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000108008,Machinine Learning based shoreline detection and sea ice dynamics using coastal cameras,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Supports basic data generation and QC/QA procedures, for large scale and short-term forecasting of shoreline trends and sea-ice dynamics in coastal environments",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000107977,Using Machine Learning in USGS StreamStats to make suspended sediment and bedload predictions,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,A tool for resource managers who need estimates of suspended sediment and bedload in Minnesota rivers without sampling data.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Operation and Maintenance,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000107975,Merbok Supplemental,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Machine Learning based shoreline detection and mapping, automated data suitability analyses from satellite imagery",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000107887,Annual National Land Cover Database Deep Learning,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Using geospatial artificial intelligence methods to map annual land cover and other land surface characteristics for the Nation.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Operation and Maintenance,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000107753,"Event and sequence (life-stage, behavior, activity, movement modality) identification, segmentation,",Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Animal movement data reflect various activities from individuals, including the use and availability of habitats and resources necessary for survival, behaviors such as feeding, flying, or nesting, and interactions with neighbors, predators, and prey. These biological patterns and processes are not readily observable from remotely tracked individuals and require identification from complex data streams. Complete representation of desired activites and behaviors may require multiple individual tools to satisfy all objectives.",see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000107683,Data-driven approaches to filling missing time-series data within the San Francisco Bay-Delta,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"In measurements of natural systems, incomplete time-series data are the rule, not the exception. Environmental time-series data may suffer from gaps at a variety of time scales, significantly reducing the number of observations to understand phenomena, identify change, calibrate models, and predict future behavior. Data may be missing because of sensor degradation (e.g., biofouling, mechanical issues, power failure), failure to meet basic quality assurance checks, or resampling of paired observations to a common timestamp.

Decades of water-quality time-series data (e.g., turbidity, salinity, temperature) collected throughout the San Francisco Bay-Delta (SFBD) by a variety of agencies including USGS, CA DWR, USBR, USFWS, and USACE are used as a critical indicator of estuary health. These data are no exception to the rule and contain numerous gaps. While bad data points can be relatively straightforward to identify (e.g., as anomalously high or low values), they are challenging to replace and are often flagged and left blank, which can bias long-term observational records.

We will test and develop several (~5) proposed methods to fill gaps in water-quality time-series data and quantify the uncertainty in those estimates. The methods will range in complexity, from linear regression to machine learning and deep learning approaches (Lepot and others, 2017), and will characterize uncertainty in the filled data (Cox and others, 2003).  For this proposal, we will initially restrict our scope to turbidity data, because of the relatively high biofouling rate of the optical sensors typically used to measure turbidity, as well as its ecological significance. In addition, we are already actively implementing one of the methods to fill gaps in turbidity data collected in a south S.F. Bay salt-marsh tidal creek (Figure 1) as part of a project investigating temporal variability in sediment delivery to marshes funded by the S.F. Bay Regional Monitoring Program.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000107535,Seabird and Marine Mammal Surveys Near Potential Renewable Energy Sites Offshore Central and Souther,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"  Using rapidly developing machine- learning (ML) techniques, the USGS WERC team is developing new methods to automate the detection and counts of seabirds and marine mammals from digital imagery.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000107488,Data-driven approaches to filling missing time-series data within the San Francisco Bay-Delta,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"In measurements of natural systems, incomplete time-series data are the rule, not the exception. Environmental time-series data may suffer from gaps at a variety of time scales, significantly reducing the number of observations to understand phenomena, identify change, calibrate models, and predict future behavior. Data may be missing because of sensor degradation (e.g., biofouling, mechanical issues, power failure), failure to meet basic quality assurance checks, or resampling of paired observations to a common timestamp.

Decades of water-quality time-series data (e.g., turbidity, salinity, temperature) collected throughout the San Francisco Bay-Delta (SFBD) by a variety of agencies including USGS, CA DWR, USBR, USFWS, and USACE are used as a critical indicator of estuary health. These data are no exception to the rule and contain numerous gaps. While bad data points can be relatively straightforward to identify (e.g., as anomalously high or low values), they are challenging to replace and are often flagged and left blank, which can bias long-term observational records.

We will test and develop several (~5) proposed methods to fill gaps in water-quality time-series data and quantify the uncertainty in those estimates. The methods will range in complexity, from linear regression to machine learning and deep learning approaches (Lepot and others, 2017), and will characterize uncertainty in the filled data (Cox and others, 2003).  For this proposal, we will initially restrict our scope to turbidity data, because of the relatively high biofouling rate of the optical sensors typically used to measure turbidity, as well as its ecological significance. In addition, we are already actively implementing one of the methods to fill gaps in turbidity data collected in a south S.F. Bay salt-marsh tidal creek (Figure 1) as part of a project investigating temporal variability in sediment delivery to marshes funded by the S.F. Bay Regional Monitoring Program.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000107424,Image classification from images on robotic platforms,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Tool identifies different terrains based on training on labeled images. Application developed for NASA Mars rovers, but applicable elsewhere.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000107402,ChatGPT to write Python scripts for ArcGIS Pro Maps to be CVD-Friendly,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"   I do not know how to code, but we are attempting to automate the process of changing colors of planetary geologic map units within ArcGIS pro so that they are all color-vision deficiency friendly. This process is very time-consuming when done by hand, so we're using ChatGPT to help write scripts about this.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
