slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
sec-using-ai-assisted-tools-in-word-processors,SEC,Securities and Exchange Commission,,Using AI-assisted tools in word processors.,"Microsoft Copilot 365,
Microsoft Copilot Studio",,"5001-10,000",10000,Microsoft 365 Copilot; Microsoft Copilot Studio,"general_llm,agent_platform",4600
stb-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,STB,Surface Transportation Board,,Creating visual representations of data sets for reports or presentations using AI.,Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
stb-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,STB,Surface Transportation Board,,"Generating first drafts of documents, briefing, or communication materials using AI.",Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
stb-improving-the-quality-of-written-communications-using-ai-tools,STB,Surface Transportation Board,,Improving the quality of written communications using AI tools.,Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
stb-planning-travel-routes-using-ai-driven-map-applications,STB,Surface Transportation Board,,Planning travel routes using AI-driven map applications.,Apple iPhone,,101-1000,1000,Apple Face ID,consumer_feature,
stb-prioritizing-and-categorizing-incoming-emails-using-ai,STB,Surface Transportation Board,,Prioritizing and categorizing incoming emails using AI.,Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
stb-searching-for-agency-information-using-a-knowledge-retrieval-system,STB,Surface Transportation Board,,Searching for agency information using a knowledge retrieval system.,Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
stb-summarizing-the-key-points-of-a-lengthy-report-using-ai,STB,Surface Transportation Board,,Summarizing the key points of a lengthy report using AI.,Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
stb-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,STB,Surface Transportation Board,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,101-1000,1000,Apple Face ID,consumer_feature,
stb-using-ai-assisted-tools-in-word-processors,STB,Surface Transportation Board,,Using AI-assisted tools in word processors.,Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
state-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,State,Department of State,,Creating visual representations of data sets for reports or presentations using AI.,"NotebookLM, HeyGen",,1-100,100,NotebookLM; HeyGen,"general_llm,media_analysis",77000
state-curating-news-articles-and-updates-based-on-user-preferences-using-ai,State,Department of State,,Curating news articles and updates based on user preferences using AI.,"ChatGPT, Claude, Gemini, NotebookLM, Perplexity",,1001-5000,5000,ChatGPT; Claude; Gemini; NotebookLM; Perplexity,general_llm,77000
state-editing-images-videos-or-other-public-affairs-materials-using-ai,State,Department of State,,"Editing images, videos, or other public affairs materials using AI.","HeyGen, ChatGPT",,"5001-10,000",10000,ChatGPT; HeyGen,"general_llm,media_analysis",77000
state-generating-code-using-ai,State,Department of State,,Generating code using AI.,"ChatGPT, Claude",,1001-5000,5000,ChatGPT; Claude,general_llm,77000
state-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,State,Department of State,,"Generating first drafts of documents, briefing, or communication materials using AI.","ChatGPT, Gemini, Claude, Grammarly",,"5001-10,000",10000,ChatGPT; Claude; Gemini; Grammarly,"general_llm,productivity",77000
state-improving-the-quality-of-written-communications-using-ai-tools,State,Department of State,,Improving the quality of written communications using AI tools.,"Grammarly, ChatGPT, Gemini, Claude, NotebookLM",,"5001-10,000",10000,ChatGPT; Claude; Gemini; NotebookLM; Grammarly,"general_llm,productivity",77000
state-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,State,Department of State,,Managing and prioritizing internal service or help desk tickets using AI.,ServiceNow,,101-1000,1000,ServiceNow Now Assist,productivity,77000
state-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,State,Department of State,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Microsoft Defender, US AI Archangel, CRIBL, DATABRICKS, SimpleChat, SplunkCloud, Microsoft Purview, ServiceNow Now Assist, Dark Trace",,1001-5000,5000,Microsoft Defender; ServiceNow Now Assist; Databricks; Microsoft Purview,"security_tool,productivity,ml_platform",77000
state-searching-for-agency-information-using-a-knowledge-retrieval-system,State,Department of State,,Searching for agency information using a knowledge retrieval system.,"ChatGPT, Claude",,"5001-10,000",10000,ChatGPT; Claude,general_llm,77000
state-summarizing-the-key-points-of-a-lengthy-report-using-ai,State,Department of State,,Summarizing the key points of a lengthy report using AI.,"ChatGPT, Gemini, Claude, Grammarly, Perplexity, NotebookLM",,"5001-10,000",10000,ChatGPT; Claude; Gemini; NotebookLM; Grammarly; Perplexity,"general_llm,productivity",77000
state-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,State,Department of State,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Microsoft Teams, Zoom",,"50,000+",100000,Microsoft Teams; Zoom,productivity,77000
state-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,State,Department of State,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,"50,000+",100000,Apple Face ID,consumer_feature,77000
state-using-ai-assisted-tools-in-word-processors,State,Department of State,,Using AI-assisted tools in word processors.,Grammarly,,101-1000,1000,Grammarly,productivity,77000
tva-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,TVA,Tennessee Valley Authority,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,10000
tva-improving-the-quality-of-written-communications-using-ai-tools,TVA,Tennessee Valley Authority,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,10000
tva-prioritizing-and-categorizing-incoming-emails-using-ai,TVA,Tennessee Valley Authority,,Prioritizing and categorizing incoming emails using AI.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,10000
tva-summarizing-the-key-points-of-a-lengthy-report-using-ai,TVA,Tennessee Valley Authority,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,10000
tva-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,TVA,Tennessee Valley Authority,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,10000
tva-using-ai-assisted-tools-in-word-processors,TVA,Tennessee Valley Authority,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,10000
treasury-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,Treasury,Department of the Treasury,,Creating visual representations of data sets for reports or presentations using AI.,N/A,,101-1000,1000,,,100000
treasury-curating-news-articles-and-updates-based-on-user-preferences-using-ai,Treasury,Department of the Treasury,,Curating news articles and updates based on user preferences using AI.,N/A,,1001-5000,5000,,,100000
treasury-editing-images-videos-or-other-public-affairs-materials-using-ai,Treasury,Department of the Treasury,,"Editing images, videos, or other public affairs materials using AI.",N/A,,1-100,100,,,100000
treasury-generating-code-using-ai,Treasury,Department of the Treasury,,Generating code using AI.,N/A,,1001-5000,5000,,,100000
treasury-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,Treasury,Department of the Treasury,,"Generating first drafts of documents, briefing, or communication materials using AI.",N/A,,"5001-10,000",10000,,,100000
treasury-improving-the-quality-of-written-communications-using-ai-tools,Treasury,Department of the Treasury,,Improving the quality of written communications using AI tools.,N/A,,"5001-10,000",10000,,,100000
treasury-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,Treasury,Department of the Treasury,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N/A,,1-100,100,,,100000
treasury-planning-travel-routes-using-ai-driven-map-applications,Treasury,Department of the Treasury,,Planning travel routes using AI-driven map applications.,N/A,,"50,000+",100000,,,100000
treasury-prioritizing-and-categorizing-incoming-emails-using-ai,Treasury,Department of the Treasury,,Prioritizing and categorizing incoming emails using AI.,N/A,,101-1000,1000,,,100000
treasury-scheduling-and-managing-social-media-posts-using-ai,Treasury,Department of the Treasury,,Scheduling and managing social media posts using AI.,N/A,,1-100,100,,,100000
treasury-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,Treasury,Department of the Treasury,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N/A,,101-1000,1000,,,100000
treasury-searching-for-agency-information-using-a-knowledge-retrieval-system,Treasury,Department of the Treasury,,Searching for agency information using a knowledge retrieval system.,N/A,,1001-5000,5000,,,100000
treasury-summarizing-the-key-points-of-a-lengthy-report-using-ai,Treasury,Department of the Treasury,,Summarizing the key points of a lengthy report using AI.,N/A,,"5001-10,000",10000,,,100000
treasury-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,Treasury,Department of the Treasury,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",N/A,,"10,000-50,000",50000,,,100000
treasury-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,Treasury,Department of the Treasury,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N/A,,"10,000-50,000",50000,,,100000
treasury-using-ai-assisted-tools-in-word-processors,Treasury,Department of the Treasury,,Using AI-assisted tools in word processors.,N/A,,101-1000,1000,,,100000
usda-generating-code-using-ai,USDA,Department of Agriculture,,Generating code using AI.,GitHub Copilot,,101-1000,1000,GitHub Copilot,coding_assistant,100000
usda-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,USDA,Department of Agriculture,,"Generating first drafts of documents, briefing, or communication materials using AI.",AskSage,,1-100,100,Ask Sage,general_llm,100000
usda-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,USDA,Department of Agriculture,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Microsoft Defender,,1-100,100,Microsoft Defender,security_tool,100000
usda-planning-travel-routes-using-ai-driven-map-applications,USDA,Department of Agriculture,,Planning travel routes using AI-driven map applications.,Apple Maps,,"10,000-50,000",50000,Apple Maps,consumer_feature,100000
usda-searching-for-agency-information-using-a-knowledge-retrieval-system,USDA,Department of Agriculture,,Searching for agency information using a knowledge retrieval system.,Microsoft Copilot Chat,,"50,000+",100000,Microsoft 365 Copilot Chat,general_llm,100000
usda-summarizing-the-key-points-of-a-lengthy-report-using-ai,USDA,Department of Agriculture,,Summarizing the key points of a lengthy report using AI.,AskSage,,1-100,100,Ask Sage,general_llm,100000
usda-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,USDA,Department of Agriculture,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Teams Premium Intelligent Meeting Features,,101-1000,1000,Microsoft Teams,productivity,100000
usda-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,USDA,Department of Agriculture,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,"10,000-50,000",50000,Apple Face ID,consumer_feature,100000
usda-using-ai-assisted-tools-in-word-processors,USDA,Department of Agriculture,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,100000
usitc-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,USITC,U.S. International Trade Commission,,Creating visual representations of data sets for reports or presentations using AI.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-curating-news-articles-and-updates-based-on-user-preferences-using-ai,USITC,U.S. International Trade Commission,,Curating news articles and updates based on user preferences using AI.,Meltwater,,1-100,100,Meltwater,productivity,400
usitc-editing-images-videos-or-other-public-affairs-materials-using-ai,USITC,U.S. International Trade Commission,,"Editing images, videos, or other public affairs materials using AI.",M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-finding-and-booking-travel-accommodations-using-ai-powered-platforms,USITC,U.S. International Trade Commission,,Finding and booking travel accommodations using AI-powered platforms.,SAP Concur,,1-100,100,SAP Concur,productivity,400
usitc-generating-code-using-ai,USITC,U.S. International Trade Commission,,Generating code using AI.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,USITC,U.S. International Trade Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.",M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-improving-the-quality-of-written-communications-using-ai-tools,USITC,U.S. International Trade Commission,,Improving the quality of written communications using AI tools.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-prioritizing-and-categorizing-incoming-emails-using-ai,USITC,U.S. International Trade Commission,,Prioritizing and categorizing incoming emails using AI.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-searching-for-agency-information-using-a-knowledge-retrieval-system,USITC,U.S. International Trade Commission,,Searching for agency information using a knowledge retrieval system.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-summarizing-the-key-points-of-a-lengthy-report-using-ai,USITC,U.S. International Trade Commission,,Summarizing the key points of a lengthy report using AI.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,USITC,U.S. International Trade Commission,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","M365 Copilot, Teams",,1-100,100,Microsoft 365 Copilot; Microsoft Teams,"general_llm,productivity",400
usitc-using-ai-assisted-tools-in-word-processors,USITC,U.S. International Trade Commission,,Using AI-assisted tools in word processors.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
ustda-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,USTDA,U.S. Trade and Development Agency,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Crowdstrike Falcon Threat Detection and Response, Qualys Cloud Detection and Response",,101-1000,1000,Crowdstrike Falcon,security_tool,
ustda-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,USTDA,U.S. Trade and Development Agency,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Lookout for mobile security",,1-100,100,Apple Face ID; Lookout,"consumer_feature,security_tool",
ustda-using-ai-assisted-tools-in-word-processors,USTDA,U.S. Trade and Development Agency,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
udall-improving-the-quality-of-written-communications-using-ai-tools,Udall,Udall Foundation,,Improving the quality of written communications using AI tools.,Microsoft CoPilot,,1-100,100,Microsoft 365 Copilot,general_llm,25
udall-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,Udall,Udall Foundation,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple,,1-100,100,,,25
udall-using-ai-assisted-tools-in-word-processors,Udall,Udall Foundation,,Using AI-assisted tools in word processors.,Microsoft CoPilot,,1-100,100,Microsoft 365 Copilot,general_llm,25
va-generating-code-using-ai,VA,Department of Veterans Affairs,,Generating code using AI.,GitHub Copilot,,1001-5000,5000,GitHub Copilot,coding_assistant,482000
va-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,VA,Department of Veterans Affairs,,"Generating first drafts of documents, briefing, or communication materials using AI.","Power Automate AI Builder, Microsoft Dynamics D365 CoPilot, Microsoft Copilot Chat",,"50,000+",100000,Microsoft 365 Copilot Chat,general_llm,482000
va-improving-the-quality-of-written-communications-using-ai-tools,VA,Department of Veterans Affairs,,Improving the quality of written communications using AI tools.,Grammarly,,1-100,100,Grammarly,productivity,482000
va-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,VA,Department of Veterans Affairs,,Managing and prioritizing internal service or help desk tickets using AI.,Genesys Cloud CX,,"5001-10,000",10000,Genesys Cloud CX,itsm,482000
va-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,VA,Department of Veterans Affairs,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",IT Service Intelligence (Splunk),,"10,000-50,000",50000,Splunk,security_tool,482000
va-searching-for-agency-information-using-a-knowledge-retrieval-system,VA,Department of Veterans Affairs,,Searching for agency information using a knowledge retrieval system.,"Westlaw, VA Box",,1001-5000,5000,Westlaw AI,legal_research,482000
va-summarizing-the-key-points-of-a-lengthy-report-using-ai,VA,Department of Veterans Affairs,,Summarizing the key points of a lengthy report using AI.,"Casepoint AI, Medallia",,"50,000+",100000,Medallia,social_listening,482000
va-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,VA,Department of Veterans Affairs,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Teams Premium,,"5001-10,000",10000,Microsoft Teams,productivity,482000
va-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,VA,Department of Veterans Affairs,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Face ID,,"50,000+",100000,Apple Face ID,consumer_feature,482000
