service,category,confidence,reasoning,signals,model,input_hash,classified_at,source
Stream Analytics,not_ai,medium,"Azure Stream Analytics is primarily a SQL-like real-time event/query processing engine; any ML integration is via optional UDFs, not the core product.","[""Stream Analytics"", ""Azure Commercial Cloud""]",claude-sonnet-5,61e8edef1e65ef4a,2026-07-04T21:37:29Z,llm
Streaming,not_ai,high,"Oracle Cloud Infrastructure Streaming is a Kafka-like message streaming service, plain infrastructure.","[""Streaming"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,d6458e8561e96c07,2026-07-04T21:37:29Z,llm
Streamline (by Valinor),not_ai,medium,"Valinor Streamline is ontology-native data-collection software for Palantir Foundry (structured forms and write-back), not itself an AI/ML capability, though it operates within an AI-heavy Foundry/AIP ecosystem.","[""ontology-native data collection"", ""Foundry"", ""Streamline""]",claude-sonnet-5,d309d654a3029507,2026-07-04T21:37:29Z,llm
Streams Messaging,not_ai,high,"Kafka-based messaging component of Cloudera's data platform, not an AI/ML feature itself.","[""Streams Messaging"", ""Cloudera""]",claude-sonnet-5,a87044f4e78689a7,2026-07-04T21:37:29Z,llm
Substrate Intelligence Platform (SIP),not_ai,low,"[QC overturn: Microsoft Substrate is the M365 data/signals layer that powers AI experiences elsewhere; it is data infrastructure/plumbing, not itself an AI product. The labeler's own reasoning concedes this.] Original: Microsoft's Substrate is the underlying data/services layer connecting Microsoft 365 content and signals, which powers AI-driven experiences (Copilot, intelligent search) elsewhere; it is data infrastructure with AI enablement as a purpose rather than an AI product itself.","[""Substrate Intelligence Platform"", ""Microsoft 365"", ""intelligent search""]",claude-sonnet-5,a6423627a16839b3,2026-07-05T01:56:37Z,qc_corrected
Support Center (Cloud Incident Service),not_ai,high,"Oracle's customer support/incident-ticketing service, not AI/ML.","[""Support Center"", ""Cloud Incident Service""]",claude-sonnet-5,fd75985a942bb3db,2026-07-04T21:37:29Z,llm
THEIA,not_ai,low,"[QC overturn: Like SkyNET, AI is inferred only from the shared Kernos video-exploitation/FMV host blurb (context only per rubric); the named service has no independent ML attribution. Precision favors not_ai.] Original: Hosted on Kernos, a C5ISR platform whose snippet describes near-real-time video exploitation and full-motion-video (FMV) processing, terminology commonly associated with AI/computer-vision-assisted analysis, though not explicitly confirmed as ML-based.","[""video exploitation"", ""full motion video (FMV)"", ""C5ISR""]",claude-sonnet-5,dc9e7959bc184a19,2026-07-05T01:56:37Z,qc_corrected
TP – Threat Protection,not_ai,high,"Qualys vulnerability/threat management module using signature- and correlation-based analysis, not marketed as an AI/ML capability.","[""Threat Protection"", ""Qualys Cloud Platform""]",claude-sonnet-5,9de22bb90e3255f4,2026-07-04T21:37:29Z,llm
TRM Labs,ai_featured,high,"TRM Labs is a blockchain intelligence/crypto-compliance platform that combines threat intelligence with machine learning models for real-time transaction risk scoring, an embedded ML capability within a broader analytics product.","[""risk scoring"", ""machine learning models"", ""blockchain intelligence""]",claude-sonnet-5,65a2c556a2e25ba0,2026-07-05T01:56:37Z,qc_confirmed
Tableau Next,ai_featured,high,"Tableau Next (Tableau Einstein) is a BI/analytics platform built around generative-AI agents (Data Pro, Concierge, Inspector) for natural-language querying and automated insight generation, AI as a headline embedded feature of a broader analytics product.","[""AI agents"", ""generative AI"", ""conversational analytics"", ""Einstein""]",claude-sonnet-5,c28535fcf134bc5a,2026-07-05T02:04:54Z,qc_confirmed
Talent 2 Opportunity (T2O),ai_featured,medium,"HireVue's comprehensive talent-acquisition platform that matches candidates to roles using the company's predictive, AI-driven assessment science alongside video interviewing, an embedded AI capability within a broader hiring platform.","[""matches candidates"", ""predictive"", ""artificial intelligence"", ""HireVue""]",claude-sonnet-5,95c03dd31d85770f,2026-07-05T01:56:37Z,qc_confirmed
Talent Acquisition,ai_featured,medium,"A recruiting workflow module of Eightfold's Talent Intelligence Platform, which uses AI to optimize matching and sourcing; the module itself is an HR function powered by the vendor's underlying ML models.","[""Eightfold AI"", ""advanced AI"", ""Talent Intelligence Platform""]",claude-sonnet-5,bc715db472b1b988,2026-07-05T02:04:54Z,qc_confirmed
Talent Flex,ai_featured,medium,An internal-mobility/gig-staffing module of Eightfold's AI-driven Talent Intelligence Platform.,"[""Eightfold AI"", ""advanced AI"", ""Talent Intelligence Platform""]",claude-sonnet-5,0253175a7b257b81,2026-07-05T01:56:37Z,qc_confirmed
Talent Management,ai_featured,medium,A workforce-development module of Eightfold's AI-driven Talent Intelligence Platform.,"[""Eightfold AI"", ""advanced AI"", ""Talent Intelligence Platform""]",claude-sonnet-5,31a8707240b5b716,2026-07-05T01:56:37Z,qc_confirmed
Talent Solution*,core_ai,high,"Google Cloud Talent Solution is explicitly a machine-learning-powered job search/candidate-matching API, using pre-trained ML models to match job seekers to postings.","[""Talent Solution"", ""machine learning"", ""job matching API""]",claude-sonnet-5,537a5654c538ed82,2026-07-05T01:56:37Z,qc_confirmed
Talent Tracking,ai_featured,medium,A candidate-pipeline tracking module of Eightfold's AI-driven Talent Intelligence Platform.,"[""Eightfold AI"", ""advanced AI"", ""Talent Intelligence Platform""]",claude-sonnet-5,e52d669998c623d7,2026-07-05T02:04:54Z,qc_confirmed
Tanium Account,not_ai,high,"Account/tenant administration for the Tanium platform, not AI/ML.","[""Tanium Account""]",claude-sonnet-5,5625fb6dff4e34cb,2026-07-04T21:37:29Z,llm
Tanium Ask,ai_featured,high,"[QC overturn: Tanium Ask is fundamentally the real-time endpoint query engine (a structured sensor-based question grammar for retrieving endpoint data), not itself an AI/ML capability; the generative-AI natural-language translation is a newer embedded add-on, so it is at most ai_featured, not core_ai.] Original: Tanium Ask is an explicitly AI-powered natural-language question bar that translates plain-English questions into Tanium's query syntax to return endpoint data.","[""AI-powered"", ""natural language questions"", ""Tanium Ask""]",claude-sonnet-5,4e92b5fa8dcf88a4,2026-07-05T01:56:37Z,qc_corrected
Tanium Asset,not_ai,high,"IT asset inventory module, not AI/ML.","[""Tanium Asset""]",claude-sonnet-5,9f4dc3c8b9fcb511,2026-07-04T21:37:29Z,llm
Tanium Automate,not_ai,high,Rules-based workflow automation for endpoint remediation tasks.,"[""Tanium Automate""]",claude-sonnet-5,688c3d12250e99a7,2026-07-05T01:56:37Z,qc_confirmed
Tanium Benchmark,not_ai,high,"Configuration/security benchmarking against standards (e.g., CIS), rules-based comparison, not AI.","[""Tanium Benchmark""]",claude-sonnet-5,94d8d67d054d535a,2026-07-04T21:37:29Z,llm
Tanium Certificate Manager,not_ai,high,"Certificate lifecycle management module, not AI/ML.","[""Tanium Certificate Manager""]",claude-sonnet-5,82a0d38d7f195f6a,2026-07-05T01:56:37Z,qc_confirmed
Tanium Client Management,not_ai,high,"Endpoint agent/client administration, not AI.","[""Tanium Client Management""]",claude-sonnet-5,ccc77f23845d3c65,2026-07-05T01:56:37Z,qc_confirmed
Tanium Cloud Workloads,not_ai,high,"Cloud workload visibility/management module, not AI/ML.","[""Tanium Cloud Workloads""]",claude-sonnet-5,93ddbe93f91a6cd6,2026-07-04T21:37:29Z,llm
Tanium Comply,not_ai,high,"Compliance/vulnerability benchmark scanning module, rules-based.","[""Tanium Comply""]",claude-sonnet-5,a2d583f4609eb2a1,2026-07-05T01:56:37Z,qc_confirmed
Tanium Connect,not_ai,high,"Data export/integration connector service, not AI.","[""Tanium Connect""]",claude-sonnet-5,8c87448c886c3a59,2026-07-04T21:37:29Z,llm
Tanium Connector for Microsoft Intune,not_ai,high,"Integration connector to Microsoft Intune, not AI/ML.","[""Tanium Connector"", ""Microsoft Intune""]",claude-sonnet-5,916b680bb5a550e2,2026-07-04T21:37:29Z,llm
Tanium Criticality,not_ai,medium,Asset/vulnerability criticality scoring module; appears to be a rules/heuristics-based prioritization feature rather than a marketed ML capability.,"[""Tanium Criticality""]",claude-sonnet-5,9397f6353981126b,2026-07-04T21:37:29Z,llm
Tanium Deploy,not_ai,high,"Software deployment/patching module, not AI.","[""Tanium Deploy""]",claude-sonnet-5,80bd2e1280fd5c40,2026-07-05T01:56:37Z,qc_confirmed
Tanium Direct Connect,not_ai,high,"Remote-access connectivity module, not AI/ML.","[""Tanium Direct Connect""]",claude-sonnet-5,cc05c2d8776286c3,2026-07-04T21:37:29Z,llm
Tanium Directory Query,not_ai,high,"Directory-service (e.g., AD/LDAP) lookup module, not AI.","[""Tanium Directory Query""]",claude-sonnet-5,2a4252b126ae86c1,2026-07-04T21:37:29Z,llm
Tanium Discover,not_ai,high,"Network/asset discovery module, not AI/ML.","[""Tanium Discover""]",claude-sonnet-5,0e88843e966a53ca,2026-07-04T21:37:29Z,llm
Tanium End-User Notifications,not_ai,high,"End-user messaging/notification module, not AI.","[""Tanium End-User Notifications""]",claude-sonnet-5,e80aef9db7456ee9,2026-07-04T21:37:29Z,llm
Tanium Endpoint Configuration,not_ai,high,"Endpoint configuration management module, not AI/ML.","[""Tanium Endpoint Configuration""]",claude-sonnet-5,1dcde378ff018c86,2026-07-04T21:37:29Z,llm
Tanium Endpoint Management for Mobile,not_ai,high,"Mobile device management module, not AI/ML.","[""Tanium Endpoint Management for Mobile""]",claude-sonnet-5,c850b1f511ad91eb,2026-07-04T21:37:29Z,llm
Tanium Enforce,not_ai,high,"Policy enforcement module for endpoint configuration, rules-based.","[""Tanium Enforce""]",claude-sonnet-5,7a71df6a7bb2aa4a,2026-07-04T21:37:29Z,llm
Tanium Engage,not_ai,medium,"Appears to be an end-user communication/engagement module, not AI/ML.","[""Tanium Engage""]",claude-sonnet-5,5e76aa696a982e86,2026-07-04T21:37:29Z,llm
Tanium Gateway,not_ai,high,"Network gateway/connectivity component, not AI.","[""Tanium Gateway""]",claude-sonnet-5,501c3f880a4504e1,2026-07-04T21:37:29Z,llm
Tanium Guardian,not_ai,medium,"Tanium Guardian provides visibility/inventory of AI tools, local LLMs, and MCP servers running on endpoints for governance purposes; it is an asset-discovery/governance capability about AI usage rather than itself an AI/ML-powered service.","[""AI governance"", ""visibility into AI tools"", ""local LLMs"", ""MCP servers""]",claude-sonnet-5,fd21e7b0fe9241cd,2026-07-04T21:37:29Z,llm
Tanium Guide,not_ai,low,"Could not confirm this specific module's function; no clear evidence it is an AI capability distinct from Tanium's other named AI products (Atlas, Ask), so treated conservatively as not_ai.","[""Tanium Guide""]",claude-sonnet-5,3f84c904c08c0eee,2026-07-05T01:56:37Z,qc_confirmed
Tanium Impact,not_ai,medium,"Appears to be a risk/impact scoring or reporting module, not confirmed as an ML-based capability.","[""Tanium Impact""]",claude-sonnet-5,d70ea395f3c8565a,2026-07-04T21:37:29Z,llm
Tanium Integrations Gallery,not_ai,high,"A catalog/marketplace of third-party integrations, not AI/ML.","[""Integrations Gallery""]",claude-sonnet-5,8dd0e6f1695b377a,2026-07-04T21:37:29Z,llm
Tanium Integrity Monitor,not_ai,high,"File integrity monitoring module, signature/hash-based, not AI.","[""Tanium Integrity Monitor""]",claude-sonnet-5,49bdc5fb094b3ab9,2026-07-04T21:37:29Z,llm
Tanium Interact,not_ai,medium,Tanium Interact is the underlying structured question-bar/query interface (with basic syntax autocomplete) that Tanium Ask's AI translation layer sits on top of; Interact itself requires Tanium query syntax rather than being AI-powered.,"[""question bar"", ""Interact syntax"", ""real-time suggestions""]",claude-sonnet-5,75c0ecf66ffc0d3d,2026-07-04T21:37:29Z,llm
Tanium Investigate,not_ai,high,"An endpoint search/forensics tool for querying live endpoint data via structured questions, not an ML capability.","[""Tanium Investigate"", ""endpoint management"", ""agent-based""]",claude-sonnet-5,1c9552e08718ba8a,2026-07-04T21:37:29Z,llm
Tanium Jump Gate,not_ai,high,"A network relay/connectivity component for the Tanium linear chain architecture; infrastructure, not ML.","[""Jump Gate"", ""Tanium Core Platform""]",claude-sonnet-5,15e2f3e209f1e482,2026-07-04T21:37:29Z,llm
Tanium Map,not_ai,high,An asset/network topology visualization tool; not an ML capability.,"[""Tanium Map"", ""endpoint management""]",claude-sonnet-5,8fd7a810fba888af,2026-07-05T01:56:37Z,qc_confirmed
Tanium Patch,not_ai,high,Patch management/deployment tooling; not ML.,"[""Tanium Patch"", ""endpoint management""]",claude-sonnet-5,898b402dccdfb9cb,2026-07-04T21:37:29Z,llm
Tanium Performance,not_ai,high,"Endpoint performance monitoring; standard telemetry, not ML.","[""Tanium Performance""]",claude-sonnet-5,e3586c03377e9967,2026-07-04T21:37:29Z,llm
Tanium Provision,not_ai,high,"OS imaging/provisioning tool; infrastructure automation, not ML.","[""Tanium Provision""]",claude-sonnet-5,de3230f3d71dd790,2026-07-05T01:56:37Z,qc_confirmed
Tanium Reporting,not_ai,high,Standard reporting/dashboards feature; not ML.,"[""Tanium Reporting""]",claude-sonnet-5,01238039f2b2db65,2026-07-04T21:37:29Z,llm
Tanium Reputation,not_ai,medium,File/process reputation lookup against threat-intel feeds; a database/lookup service rather than a distinct ML capability.,"[""Tanium Reputation""]",claude-sonnet-5,a397f063fdc46196,2026-07-05T01:56:37Z,qc_confirmed
Tanium Reveal,not_ai,medium,Sensitive-data discovery on endpoints via pattern/regex-based scanning; not marketed as an ML capability.,"[""Tanium Reveal""]",claude-sonnet-5,daeeaed92703d2cc,2026-07-04T21:37:29Z,llm
Tanium Risk,not_ai,high,Rule/score-based risk assessment from vulnerability and configuration data; not ML.,"[""Tanium Risk""]",claude-sonnet-5,b55724550a97ad83,2026-07-04T21:37:29Z,llm
Tanium SBOM,not_ai,high,Software bill-of-materials generation/inventory; not ML.,"[""Tanium SBOM""]",claude-sonnet-5,579640b307354dfe,2026-07-05T01:56:37Z,qc_confirmed
Tanium Software Bill of Materials (SBOM),not_ai,high,Same SBOM generation/inventory capability spelled out in full; not ML.,"[""Software Bill of Materials""]",claude-sonnet-5,867e897ed5064cbc,2026-07-04T21:37:29Z,llm
Tanium Threat Response,not_ai,medium,"Endpoint detection/response and incident investigation tooling; primarily signature/behavior-rule based per Tanium's product positioning, not a named ML capability.","[""Threat Response"", ""endpoint management and security""]",claude-sonnet-5,d49874052d4a2662,2026-07-04T21:37:29Z,llm
Tanium Trends,not_ai,high,Historical trend charting/analytics dashboards; not ML.,"[""Tanium Trends""]",claude-sonnet-5,2ece6d395b022d49,2026-07-04T21:37:29Z,llm
Tanium Zero Trust,not_ai,high,Zero-trust posture assessment based on endpoint compliance signals; not ML.,"[""Tanium Zero Trust""]",claude-sonnet-5,da16988ae206ecf9,2026-07-04T21:37:29Z,llm
Team On-Call Handoff Reviews,not_ai,high,"An on-call scheduling/handoff review feature within PagerDuty; operational workflow, not ML.","[""On-Call Handoff Reviews"", ""PagerDuty""]",claude-sonnet-5,e865abe4e497af29,2026-07-04T21:37:29Z,llm
Team-based Organizing and Advanced Permissions,not_ai,high,Team structure and permissions/RBAC administration feature; not ML.,"[""Advanced Permissions"", ""Team-based Organizing""]",claude-sonnet-5,f354e559c5765b59,2026-07-04T21:37:29Z,llm
Tenable Security Center,not_ai,high,"Vulnerability management/scanning platform; signature-based scanning, not an ML capability.","[""Tenable Security Center"", ""GSS One""]",claude-sonnet-5,22346de49e9f284f,2026-07-04T21:37:29Z,llm
Tenancy Lifecycle Service,not_ai,high,"Oracle Cloud tenancy provisioning/lifecycle management; account infrastructure, not ML.","[""Tenancy Lifecycle Service"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,7bbbeee603708b3c,2026-07-05T01:56:37Z,qc_confirmed
Tenant Manager,not_ai,high,Oracle Cloud tenant administration tooling; not ML.,"[""Tenant Manager"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,f353144a5d01b3a4,2026-07-04T21:37:29Z,llm
Terminal Service Gateway (TSG),not_ai,high,"A remote desktop/terminal services gateway on M365 GCC-H; network access infrastructure, not ML.","[""Terminal Service Gateway"", ""Microsoft 365""]",claude-sonnet-5,d3a59f2c0b5e306c,2026-07-04T21:37:29Z,llm
Terrace Server (Software Repository & Backup Services),not_ai,high,Software repository and backup infrastructure; not ML.,"[""Software Repository"", ""Backup Services""]",claude-sonnet-5,4976475d667f42c7,2026-07-04T21:37:29Z,llm
Terraform,not_ai,high,Infrastructure-as-code provisioning tool; not ML.,"[""Terraform"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,62cd8a33a53e130a,2026-07-04T21:37:29Z,llm
Text Analytics,core_ai,high,"Azure Text Analytics (Cognitive Services for Language) is an NLP API for sentiment analysis, entity recognition, and key-phrase extraction, a core-AI capability by name.","[""Text Analytics"", ""Azure Commercial Cloud""]",claude-sonnet-5,6a6fc46e23cca261,2026-07-05T01:56:37Z,qc_confirmed
Third-Party/Vendor Risk,not_ai,high,"A GRC/vendor-risk-management workflow module on Onspring; policy/workflow tooling, not ML.","[""Third-Party/Vendor Risk"", ""governance, risk management, and compliance""]",claude-sonnet-5,53629b0e85a9f051,2026-07-04T21:37:29Z,llm
Threat Intelligence Platform,not_ai,low,"A generic Oracle threat-intelligence aggregation service; feed/database-oriented by name, without a distinct named ML component.","[""Threat Intelligence Platform"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,df57c2029c4450a1,2026-07-05T01:56:37Z,qc_confirmed
Threshold Conditions,not_ai,high,A rule-based alert-threshold configuration feature in PagerDuty; not ML.,"[""Threshold Conditions"", ""PagerDuty""]",claude-sonnet-5,d0012442f59f7cd8,2026-07-04T21:37:29Z,llm
Ticketing,not_ai,high,A standard ticketing/case-management feature on MAXIMUS Cloud; not ML.,"[""Ticketing"", ""MAXIMUS Cloud""]",claude-sonnet-5,b9d71b6d10c5ac20,2026-07-04T21:37:29Z,llm
Ticketing *,not_ai,high,PagerDuty's ticketing/incident-tracking integration feature; not ML.,"[""Ticketing"", ""PagerDuty""]",claude-sonnet-5,bd49402589e5c465,2026-07-04T21:37:29Z,llm
Ticketing System Service,not_ai,high,"A ticketing system on GovDataHosting; standard workflow tooling, not ML.","[""Ticketing System Service"", ""GovDataHosting""]",claude-sonnet-5,93d0c3c9d8cf3726,2026-07-05T01:56:37Z,qc_confirmed
Tiered Cache,not_ai,high,"A Cloudflare CDN caching-tier feature; networking/performance, not ML.","[""Tiered Cache"", ""Cloudflare""]",claude-sonnet-5,1844f910204dde44,2026-07-04T21:37:29Z,llm
Time & Attendance (Employee Time Tracking),not_ai,high,An HR time-tracking module in NEOGOV's workforce-management suite; not ML.,"[""Time & Attendance"", ""Employee Time Tracking"", ""NEOGOV""]",claude-sonnet-5,7ec7f7f23c3bae39,2026-07-04T21:37:29Z,llm
Time-Based Alert Grouping,not_ai,high,"A time-window-based alert deduplication/grouping rule in PagerDuty; rule-based aggregation, not a named ML capability.","[""Time-Based Alert Grouping"", ""PagerDuty""]",claude-sonnet-5,b773b71c388fc0a7,2026-07-04T21:37:29Z,llm
Torus,not_ai,low,An internal Microsoft 365 service component (identity/token infrastructure); no AI/ML function indicated by the name.,"[""Torus"", ""Microsoft 365 Government Community Cloud-High""]",claude-sonnet-5,e70b816ca7e6f64d,2026-07-05T01:56:37Z,qc_confirmed
TotalAI,not_ai,medium,"[QC overturn: Qualys TotalAI is a security scanner that assesses/tests AI and LLM apps for vulnerabilities; per rubric-v2 rule 1, a service that monitors/administers AI rather than shipping it is not_ai, and the AI-sounding name is not evidence.] Original: Qualys TotalAI is an AI-security module within the broader Qualys Cloud Platform for discovering and testing AI/ML models and LLM-powered applications for vulnerabilities; the AI focus is a specific embedded capability within a larger security-scanning product.","[""TotalAI"", ""Qualys Cloud Platform"", ""identifying and homing-in on threats""]",claude-sonnet-5,8700392fb3eecabc,2026-07-05T02:04:54Z,qc_corrected
TotalAppSec (WAS & API Security),not_ai,high,"Web application and API security scanning (WAS); standard vulnerability scanning, not ML.","[""WAS & API Security"", ""Qualys""]",claude-sonnet-5,c5f778b4e8943c72,2026-07-05T01:56:37Z,qc_confirmed
TotalCloud,not_ai,high,"Cloud security posture management module; configuration/compliance scanning, not ML.","[""TotalCloud"", ""Qualys""]",claude-sonnet-5,7512f6ed88b08b6c,2026-07-04T21:37:29Z,llm
Tovuti LMS,not_ai,high,A learning management system for course delivery; not ML.,"[""Tovuti LMS"", ""Knox Systems""]",claude-sonnet-5,fd23fd4dcfec25a6,2026-07-04T21:37:29Z,llm
Traffic Manager,not_ai,high,"Azure Traffic Manager is DNS-based traffic routing/load balancing; networking, not ML.","[""Traffic Manager"", ""Azure Commercial Cloud""]",claude-sonnet-5,195c33403a18a3ee,2026-07-04T21:37:29Z,llm
Translate,core_ai,medium,"Named language-translation service; translation is an explicit core-AI/NLP capability, though the Kernos host context (video exploitation platform) gives limited further detail.","[""Translate"", ""Kernos""]",claude-sonnet-5,6a39eaf7377fbb6e,2026-07-05T01:56:37Z,qc_confirmed
Translator Text,core_ai,high,"Azure Translator Text is a machine-translation API, an explicit NLP/translation core-AI service.","[""Translator Text"", ""Azure Commercial Cloud""]",claude-sonnet-5,6f29b9f8a5d46677,2026-07-05T01:56:37Z,qc_confirmed
Trellix Endpoint Detection and Response (EDR),ai_featured,medium,Trellix EDR is a broader endpoint security product that ships ML-driven behavioral detection and AI-guided investigation as an embedded feature.,"[""Endpoint Detection and Response"", ""Machine learn"", ""real-time monitoring""]",claude-sonnet-5,995d4e250c258429,2026-07-05T01:56:37Z,qc_confirmed
Trellix Global Threat Intelligence (GTI),not_ai,low,A cloud reputation/threat-intelligence feed aggregating telemetry across Trellix's sensor network; fundamentally a database/feed service rather than a named ML capability.,"[""Global Threat Intelligence"", ""Trellix""]",claude-sonnet-5,5ead4c76358752ed,2026-07-05T01:56:37Z,qc_confirmed
Trellix Helix Connect,ai_featured,low,A security operations/XDR orchestration platform (formerly FireEye Helix) integrating multiple analytics tools with some ML-based correlation; a broader platform with embedded analytics rather than a dedicated AI product.,"[""Helix Connect"", ""security analytics"", ""event orchestration""]",claude-sonnet-5,fc97dbc2b6f63138,2026-07-05T01:56:37Z,qc_confirmed
Trellix Insights,ai_featured,medium,"Trellix Insights (formerly MVISION Insights) uses predictive analytics/ML to forecast threat prevalence and prioritize risk, an embedded ML feature within the broader security platform.","[""Trellix Insights"", ""predict"", ""threat prioritization""]",claude-sonnet-5,c863a3ebbf2702e7,2026-07-05T01:56:37Z,qc_confirmed
Trellix ML Protect (formerly known as Trellix Real Protect),ai_featured,high,An ML-based static/behavioral malware-classification engine (the name itself says ML) embedded within the broader Trellix endpoint protection suite.,"[""ML Protect"", ""Real Protect"", ""Machine learn""]",claude-sonnet-5,c7841a379c2a28f1,2026-07-05T02:04:54Z,qc_confirmed
Trellix Threat Intelligence Exchange (TIE),not_ai,medium,"A file/reputation-sharing exchange across endpoints; primarily a database/correlation service, not a distinct ML capability.","[""Threat Intelligence Exchange"", ""Trellix""]",claude-sonnet-5,ec0a9e257255d16f,2026-07-05T01:56:37Z,qc_confirmed
Trellix ePolicy Orchestrator (ePO),not_ai,high,"A centralized security management/policy console; administrative tooling, not ML.","[""ePolicy Orchestrator"", ""centrally manage security""]",claude-sonnet-5,b8c3079b4720daf7,2026-07-04T21:37:29Z,llm
TripLink,not_ai,high,SAP Concur's travel-booking integration feature; not ML.,"[""TripLink"", ""Concur Cloud for Public Sector""]",claude-sonnet-5,3abfb9bbe83cc806,2026-07-04T21:37:29Z,llm
Tungsten TotalAgility Cloud®,core_ai,high,"Tungsten (formerly Kofax) TotalAgility is an intelligent document processing platform built around AI-driven capture, OCR, and document classification, a document-intelligence core-AI capability.","[""TotalAgility"", ""intelligent document processing"", ""FedHIVE""]",claude-sonnet-5,26116fcfda2779ed,2026-07-05T01:56:37Z,qc_confirmed
Turnstile,not_ai,medium,"Cloudflare Turnstile is a non-intrusive bot/human verification widget; while it uses behavioral signals, it is marketed as a CAPTCHA alternative rather than a named AI/ML capability.","[""Turnstile"", ""Cloudflare"", ""DDoS attacks""]",claude-sonnet-5,ec734817e7c4cba9,2026-07-04T21:37:29Z,llm
UTM Firewall,not_ai,high,"A unified threat management firewall appliance; traditional network security, not AI.","[""UTM Firewall"", ""Elevate Intelligent Automation Platform""]",claude-sonnet-5,579a062de216719b,2026-07-04T21:37:29Z,llm
Unified Communications Manager Cloud for Government (UCMC-G),not_ai,high,"Cisco's cloud-hosted call/UC manager for Webex for Government; telephony/collaboration infrastructure, not AI.","[""Unified Communications Manager"", ""Webex for Government""]",claude-sonnet-5,00d031fe0bfdea75,2026-07-04T21:37:29Z,llm
Unified Endpoint Management (UEM),not_ai,high,"Omnissa Workspace ONE UEM manages desktops, mobile devices, and apps; device management infrastructure, not an AI capability.","[""Unified Endpoint Management"", ""manage endpoint devices""]",claude-sonnet-5,51dd6fc0cb8a60b2,2026-07-04T21:37:29Z,llm
Unison CLM (Contracting Lifecycle Management),not_ai,high,A contract lifecycle/acquisition management SaaS for government contracting compliance; not AI.,"[""Contracting Lifecycle Management"", ""FAR/DFARS""]",claude-sonnet-5,9af4073bc91dd041,2026-07-04T21:37:29Z,llm
Unison Marketplace,not_ai,high,A procurement/contracting marketplace product from Unison; not an AI capability.,"[""Marketplace"", ""contracting professionals""]",claude-sonnet-5,45845b3ebf02f140,2026-07-04T21:37:29Z,llm
Unity Catalog,not_ai,high,"Databricks Unity Catalog is a data governance and cataloging layer for the lakehouse; metadata/access-control tooling, not AI itself.","[""Unity Catalog"", ""governance""]",claude-sonnet-5,2b707d9dada394f5,2026-07-04T21:37:29Z,llm
Unlimited Open and Flexible APIs,not_ai,high,A generic API-access feature of the PagerDuty platform; not an AI capability itself.,"[""APIs"", ""PagerDuty Operations Cloud""]",claude-sonnet-5,f9b62afa4202b49e,2026-07-04T21:37:29Z,llm
Unstructured Platform,core_ai,medium,"Unstructured is a document-parsing/ETL platform purpose-built to convert unstructured documents into structured data for LLM and RAG pipelines, matching the document-intelligence definition of core_ai.","[""Unstructured Platform"", ""Kubernetes infrastructure"", ""PFCS-SS""]",claude-sonnet-5,333c3ab1ab9e8651,2026-07-05T01:56:37Z,qc_confirmed
"Upload/Download, File/Folder Management",not_ai,high,"Basic Box file storage operations (upload, download, folder management); not AI.","[""Upload/Download"", ""File/Folder Management""]",claude-sonnet-5,3031131f0bae5977,2026-07-04T21:37:29Z,llm
User Access Mgmt and Admin Console,not_ai,high,"Box's administrative console for user access/permissions; identity/access administration, not AI.","[""User Access Mgmt"", ""Admin Console""]",claude-sonnet-5,fff420a8709cfeb9,2026-07-04T21:37:29Z,llm
User Onboarding Report,not_ai,high,A PagerDuty reporting feature tracking user onboarding; not AI.,"[""Onboarding Report"", ""PagerDuty""]",claude-sonnet-5,3a2f6a57b6b1bfab,2026-07-05T01:56:37Z,qc_confirmed
User Support Desk for Public Sector,not_ai,high,A customer/help-desk support service for Concur's public-sector offering; not AI.,"[""Support Desk"", ""Concur Cloud for Public Sector""]",claude-sonnet-5,966ff24376b5ce18,2026-07-05T01:56:37Z,qc_confirmed
VCD,not_ai,high,"VMware Cloud Director, an IaaS management/orchestration layer; infrastructure, not AI.","[""VCD"", ""VMware Cloud Foundation"", ""IaaS""]",claude-sonnet-5,3a103e43f65f6826,2026-07-04T21:37:29Z,llm
VCF,not_ai,high,"VMware Cloud Foundation, a compute/storage/network virtualization platform; infrastructure, not AI.","[""VCF"", ""software-defined storage""]",claude-sonnet-5,1fee21eeb77b5f69,2026-07-04T21:37:29Z,llm
VCN Flow Logs,not_ai,high,"Oracle Cloud network flow logging for its Virtual Cloud Network; monitoring/logging infrastructure, not AI.","[""VCN Flow Logs"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,7344c7bded3c061f,2026-07-05T01:56:37Z,qc_confirmed
"VMDR – Vulnerability Management, Detection & Response",not_ai,medium,Qualys VMDR is a vulnerability scanning/management platform correlating known threats and CVEs; primarily signature-based scanning rather than a named AI/ML capability.,"[""Vulnerability Management"", ""Qualys Cloud Platform"", ""eliminating vulnerabilities""]",claude-sonnet-5,133403e6578024e2,2026-07-05T01:56:37Z,qc_confirmed
