"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,
NASA-836,Using ChatGSFC to Streamline Analysis and Reporting,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Agentic AI,A series of 90+ examples of how ChatGSFC or a NASA-focused LLM can be utilized to enhance project planning and controls (PP&C) analysis and streamline project management activities.,"Small working groups in various functional areas (EVM, Risk, Resource Management, Schedule) have been experimenting with ChatGSFC and documenting time-savings and efficiencies gained from using the AI/LLM tool.","Cost, schedule, risk analyses, resource estimation, resource requirements, subcontracts analysis, ability to generate a multitude of various project plans and sub-plans, WBS/WBS dictionary",,,,,,,,,,,,,,,,,,,,,
NASA-838,Ground-based Detection of Martian Dust Devils With a Fine-tuned Fast R-CNN,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,"We developed a two-stage pipeline for efficient dust devil detection in Mars rover imagery. Our approach combines preprocessing filters to remove unsuitable images, followed by a Faster R-CNN with ResNet-50 backbone and Feature Pyramid Network, effectively detecting nonrigid, low-opacity dust devils that traditional methods frequently miss. We demonstrated clear advantages over generic object detection models.","Our fine-tuned model significantly outperforms general-purpose architectures, highlighting the critical importance of domain-specific training for specialized atmospheric phenomena detection across multiple rover platforms and mission phases. This work has established a foundation for onboard implementation in future Mars missions. Our model could enable intelligent data prioritization, allowing rovers to retain high-resolution imagery of dust devil activity while applying aggressive compression to less scientifically valuable frames, optimizing limited bandwidth resources.","Detecting nonrigid, low-opacity dust devils",,,,,,,,,,,,,,,,,,,,,
NASA-839,A Detection and Reporting System for Spacecraft Threats,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Goal is to identify, and potentially predict when an event (e.g., anomaly, interference, etc.) has/will occur. Spacecraft anomalies / interference events can take them out of of mission.","Shorten anomaly/event response times, potentially automating responses; Faster identification of anomalies, and even prediction of events. Keeps spacecraft on mission longer.","list of identified events (type, time, location, etc.) provided to engineering/operations. We are very conscious to drive false positives and operator workload to the absolute minimum.",,,,,,,,,,,,,,,,,,,,,
NASA-841,Neural Posterior Estimation for X-ray reflection spectroscopy: Training on complex physical models and AGN Observation-Driven Parameter Grids.,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The development of an automated inference tool tailored to extract key physical parameters from obscured AGN (active galactic nuclei) X-ray spectra by means of more complex physical models than ever before with machine learning. For our pilot work, we use the decoupled X-ray reflection MYTorus model with separate direct and scattered (""reflected"") continua, as well as narrow Fe K fluorescense. ","Such a complex model poses a significant computational challenge for traditional inference techniques. To address this, we construct a physically informed, observation-driven training grid, based on the parameter space spanned by nearby AGN observed with NuSTAR. We use this grid to train a Neural Posterior Estimation (NPE) model within a simulation-based inference (SBI) context. The parameters inferred are the photon index (Γ), the global and line-of-sight equivalent neutral hydrogen column densities (N_Hs and N_Hz), and the reflection scaling factor (A_S), each with associated uncertainties. ","This approach demonstrates a path to likelihood-free posterior estimation using neural networks, providing a scalable alternative to traditional methods for parameter inference in complex astrophysical models.",,,,,,,,,,,,,,,,,,,,,
NASA-842,Revolutionizing Neutron Star Parameter Inference through Machine Learning,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Observations of neutron stars provide estimates of their mass and radius—key parameters for constraining their still uncertain equation of state. However, the accuracy of parameter inference is limited by the complexity and computational cost of current models, with more accurate models becoming prohibitively expensive. To make parameter inference feasible, we have developed a transposed convolutional neural network (NN) that serves as a surrogate for the physics-based model within our MCMC algorithm. We test and validate this approach in a simple static vacuum regime using millisecond pulsar PSR J0030+0451 as a case study. The NN achieves a speed-up of over 400× which enables the algorithm to converge on a solution for the first time. We outline our progress towards incorporating more realistic and complex regimes, where the neural network becomes an increasingly vital component of the inference process.","The developed neural network surrogate speeds up the computation of model pulsar X-ray and gamma-ray light curves within Markov chain Monte Carlo and multi-nested suites by a factor of ~400 for vacuum magnetic fields and ~1,000,000 for realistic force-free magnetic fields. This allows the derivation of posterior parameter distributions that otherwise would be impossible.",Posterior distributions,,,,,,,,,,,,,,,,,,,,,
NASA-843,Curiosities of a Systems Engineer,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"AI has helped enable me as a systems engineer to dive deep into subjects outside my expertise. Helping bridging the gap between specialists and generalists.  This includes helping me identifying what appears to be an optimal 5 node constellation for a GNSS like constellation around the Moon focused on the Lunar South Pole. Which happens to be the most optimal 6 node constellation with one node removed.  Another project has been an auditory ""game"" demonstrating how the brain builds correlations between different signals played in the separate ears. This demonstration uses an auditory rendition of the GPS gold codes and builds an intuition on phase offset and doppler offsets.  The last ""ongoing"" side project has been using AI to create a software GNSS receiver leveraging the intuitions gained from auditory demo.  I have learned a few prompting tricks along the way that I would like to share.  ","TEMPO spectra seem to contain enough information to predict GPP as accurately as the combination of MODIS and MERRA-2 data, despite the absence of infrared information.  ",GPP ( Gross Primary Productivity ) across entire TEMPO footprint for all daylight hours,,,,,,,,,,,,,,,,,,,,,
NASA-844,Continuing Adventures in the Discovery of Multiple Star Systems with AI/ML,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Early data-driven analyses of ozone chemistry sensitivity primarily relied on ""ratio-based"" indicators to partially linearize the non-linear aspects of urban ozone chemistry, which are influenced by pollution levels, light, and water vapor. With the development of more sophisticated algorithms, including machine learning techniques capable of fitting high-dimensional non-linear functions, we have shown that a highly effective parameterization of net ozone production rates (PO3) can be achieved. This approach eliminates the need for empirical linearization of ozone chemistry through various indicators and allows for the primary inputs to be accurately constrained using satellite observations.","We need a better understanding of the worldwide spatiotemporal variability of ozone production rates. This is mainly due to the limited information we can gain from supersites or aircraft data by which we can generate observationally constrained PO3. However, we offer a significantly enhanced algorithm to parameterize PO3 using retrospective aircraft observations and a handful of variables that can be primarily informed by satellite observations that provide high spatial coverage. Our work shows the long-term maps of PO3 worldwide. This work has important implications for pollution exposure and regulations and can promote the use of satellite observations as an essential component for informing emission regulations beyond the current capabilities.",All outputs related to the project are well documented in our website: https://www.ozonerates.space/,,,,,,,,,,,,,,,,,,,,,
NASA-845,Autonomous Science and Technology for Responsive Adaptation (ASTRA),GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The ASTRA team is working to develop and mature capabilities for extensibility and science autonomy. Extensibility would give us the ability to add and collaborate among multi-organizational assets to form a new, distributed and disaggregated mission. Our onboard Science AI would allow missions to make decisions for future action onboard using real-time data, enabling adaptable and responsive exploration and discovery.    ","Intelligent and interoperable extensible architectures for space developed and deployed under ASTRA are poised to become a “get with it or get out” technology, similar to the protocols for the internet, bluetooth, etc. We utilize two key capabilities developed by the ASTRA team in FY25: 1) Intelligent Extensible Mission Architectures (IEMA) and 2) Objective-Based Artificial Intelligence (OBAI). IEMA code includes the ability to broadcast capabilities and requests, and to join in a coordinated effort with assets that were previously unknown. OBAI code includes the ability to use established observational priorities to analyze data in real-time, make recommendations and decisions for future action based on the perceived importance of observation(s), and carry out actions in a new, coordinated multi-asset effort.","classification, prediction, confidence in prediction, anomalies",,,,,,,,,,,,,,,,,,,,,
NASA-846,Multimodal Earth Observation Workflow for Machine Learning (MEOW-ML):  A Case Study in Canopy Height Model and Canopy Height Change Prediction,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Here we introduce an updated version of Multimodal Earth Observation Workflow for Machine Learning (MEOW-ML), an end-to-end data fusion and artificial intelligence (AI) and machine learning (ML) framework tailored for Earth Observation (EO). MEOW-ML supports the full AI/ML lifecycle, from data preparation to model training and evaluation. ","It speeds up the iterative loops of data processing and model architecture development, and, critically, enables the integration of heterogeneous data sources.
A primary intent for MEOW-ML is its application in the design of New Observing Strategies (NOS) which require very large data sets with data of diverse types acquired by a variety of sensors potentially aboard multiple sub-orbital and orbital platforms.  MEOW-ML can be used to test various combinations of data types, qualities and resolutions to optimize the design of an NOS.","As an example, we present a trained ML model with promising performance using this framework, for predicting forest productivity and degradation over time by using canopy height change (CHC) as a proxy. We conducted modeling at two spatial resolutions to illustrate the potential use of this framework for NOS design activities.",,,,,,,,,,,,,,,,,,,,,
NASA-847,Sub-Saharan West Africa  Land Cover Change ,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"In recent decades, Sub-Saharan West Africa has seen rapid and ongoing land cover change fueled by population growth and subsequent agricultural expansion and intensification. These changes have led to negative impacts including a decrease in land productivity, loss of local biodiversity, and a general degradation of ecosystem services, resulting in debate over whether policies to discourage this type of transformation should be introduced. However, moderate resolution satellite data and traditional remote sensing methods are insufficient at resolving land cover land use change in this region, which is dominated by small, dispersed patches of savanna-woodlands and smallholder agriculture systems (< 3 ha.) that consist of highly dynamic and often ill-defined field boundaries. In Senegal, extreme latitudinal gradients in phenology, limited availability of cloud-free wet season imagery, and widespread burnt area during the dry season add further complexity in identifying sub-hectare land cover and change. ","Thanks to the growing availability of very high resolution (VHR) imagery (< 3 m GSD) through commercial vendors and the increased accessibility of high-performance computing resources such as GPUs, we are now able to perform computationally-expensive, deep learning-based predictions on thousands of VHR observations for mapping fine-scale land cover over large areas. We have leveraged these enhanced capabilities by developing a series of deep learning models for land cover classification with WorldView 8-band imagery (2 m GSD), and have performed inference on all data available over the study domain. To assess the cost-benefit of this effort, we implemented a simple spatial resolution experiment at select locations in Senegal by pansharpening and resampling 2 m WorldView multispectral imagery and training data to alternate spatial resolutions (0.5 m, 5 m, 10 m, and 30 m) for training and inference using our deep learning models. ","Presented here, our quantitative results evaluating the impact of spatial resolution on the accuracy of mapping agricultural expansion and tree/shrub cover in Senegal provide insight into the optimal input parameters for mapping land cover with deep learning applications.",,,,,,,,,,,,,,,,,,,,,
NASA-848,Near-real-time aerosol retrievals from OMPS Limb Profiler measurements,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Rapid aerosol retrievals from OMPS Limb Profiler are important to monitor large wildfires and volcanic eruptions that reach the stratosphere.  These near-real-time (NRT) retrievals can inform aviation safety and help coordinate ground-based and in situ measurements of these disruptive events.  To enable NRT retrievals from OMPS Limb Profiler, we utilize neural networks trained on the operational physics-based data product, reducing the runtime to retrieve these aerosols from ~2 hours to ~2 minutes.","Sped up aerosol retrievals by ~60 times to enable rapid retrievals within 3 hours from acquisition, integrated imagery into NASA Worldview for quick assessment of disruptive events (volcanic eruptions, major wildfires) alongside related data products (e.g., OMPS SO2)","Predictions of aerosol extinction profiles between 0.5 - 40.5 km at 510, 600, 675, 745, 869, and 997 nm.",06/14/2024 00:00:00,b) Developed in-house,,Yes,Atmospheric Chemistry Processing System (ACPS),"1. OMPS LP Level-1 gridded radiance data product at selected wavelengths and altitudes
2. OMPS LP Level-2 Aerosol data product
3. Atmospheric temperature and pressure profiles from Global Earth Observing System Forward Processing for Instrument Teams data product",, No,,None,Yes,,,,,,,,,,
NASA-849,Retrieving stratospheric water vapor from OMPS Limb Profiler measurements,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Stratospheric water vapor (SWV) plays an important role in atmospheric chemistry, dynamics, and radiative forcing.  OMPS Limb Profiler (LP) provides daily near-global coverage and currently operates on two satellites, with plans to launch two additional platforms in the coming years.  Developing a method to retrieve SWV from OMPS LP measurements would provide measurements of SWV into the 2030s.  However, OMPS LP has low sensitivity to SWV which inhibits the application of traditional retrieval methods.  We explored using neural networks to perform these retrievals.","With the impending loss of Aura Microwave Limb Sounder (MLS) which has provided SWV measurements for two decades, our OMPS LP product will serve as a low-cost continuation of the MLS water vapor record until a successor instruments can be developed and launched.","Each CNN predicts a water vapor profile.  The mean of the predictions comprises the reported OMPS LP water vapor profile, and the standard deviation of the predictions comprises the uncertainty in that water vapor profile.",09/30/2025 00:00:00,b) Developed in-house,,Yes,Atmospheric Chemistry Processing System (ACPS),"1. Aura MLS water vapor data product
2. OMPS LP Level-1 gridded radiance data product at select wavelengths
3. Atmospheric temperature and pressure profiles from the NASA Global Earth Observing System Forward Processing for Instrument Teams product",, No,,None,Yes,,,,,,,,,,
NASA-850,Retrieving stratospheric NO2 profiles from OMPS Limb Profiler measurements,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Stratospheric NO2 plays an important role in ozone photochemistry.  The OMPS Limb Profiler (LP) instrument provides daily near-global coverage; it is currently operating on two satellites and is planned for two additional platforms in the coming years.  However, LP is only weakly sensitive to NO2 due to coarse spectral resolution at wavelengths where NO2 absorbs, which prohibits the use of traditional retrieval techniques.","Additional observations of stratospheric NO2 abundances can improve our understanding of stratospheric chemistry and dynamics.  Validation of this work is complicated due to limited availability of observations, but the retrieved profiles show good agreement with state-of-the-art model simulations and the retrieved integrated column shows good agreement with space-borne measurements from Aura OMI.",Prediction of NO2 profiles between 10.5 - 45.5 km,03/14/2025 00:00:00,b) Developed in-house,,Yes,NASA Center for Climate Simulation’s Prism GPU cluster,"1. OMPS LP Level-1 gridded radiance data product at selected wavelengths
2. Atmospheric temperature and pressure profiles from the NASA Global Earth Observing System (GEOS) Forward Processing for Instrument Teams product
3. NO2 profiles from the GEOS Climate Chemistry Model matched to local solar time of OMPS LP observations",, No,,None,Yes,,,,,,,,,,
NASA-851,Automated identification of volcanic plumes,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Use ML to reduce noise in image of satellite SO2 retrievals, and automatically identify volcanic SO2 plumes in the images.",Automated identification and tracking of volcanic plumes will be useful in monitoring and mitigating volcanic hazards.,segmentation,,,,,,,,,,,,,,,,,,,,,
NASA-853,Correcting NASA NPOL weather radar beam blockage using machine learning approaches,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Our objective is to fill in blocked radar data using Convolutional Neural Networks (CNN). This project is in the early stages in preparing the data and model for training.,This project will help fill in NASA NPOL blocked radar data from the Global Precipitation Measurement (GPM) mission Ground Validation (GV) field campaigns to better validate rainfall from space.,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-854,Application of ML to Detection of Anomalies in Spacecraft Health and Status Data,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"We are collaborating with the Magnetospheric Multiscale (MMS) mission to research Machine Learning (ML) techniques capable of predicting and detecting anomalies in spacecraft health and status data. We are combining historical MMS telemetry data, with known mission events and anomalies, to perform unsupervised ML techniques. We have primarily used Temporal Convolutional Networks (TCN) as they preserve the temporal nature of our data while detecting long term and short term trends in the data.","This research provides new insights in telemetry data patterns and may reduce the time it takes to identify anomalies, allowing operators to focus on finding resolutions to ensure spacecraft health and safety. ",Detection of anomalies,10/01/2025 00:00:00,b) Developed in-house,, No,NA - local machine,MMS and LRO telemetry data from GSFC's Telemetry as a Service (TaaS) tool,, No,,None,Yes,,,,,,,,,,
NASA-855,AI: Logic Design and Verification,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Reinforcement Learning,"There has been much discussion on the use of Artificial Intelligence (AI) in many fields.  This study is a first look at the use of AI in the field of digital electronics, primarily generating VHDL designs as well as self-checking test benches.  A series of experiments were conducted, giving the AI design and verification tasks for standard logic constructions as well as modest-sized applications.  The AI’s performance was analyzed in detail.","The key benefit of using AI for these applications is the huge speed advantage for generating designs and test benches, when compared to the human.  This is for NASA and organizations that do similar engineering; not for the general public.
In the course of this study, some cases that would take a human a number of hours to complete, would be done in less than a minute by the AI.","The error or anomaly rate was relatively high for the AI.  Indeed, it would be higher than a young engineer.  Some of the anomalies were minor and could be corrected by the human or be directing the AI.  Other anomalies were moderate to major; a considerable amount of human time would be necessary to fix the problems; in some cases the AI output would have to be replaced by the human.",,,,,,,,,,,,,,,,,,,,,
NASA-856,SOLARIS-AI: Analyze Planetary Modulation in Solar Activity Cycles (Prediction of solar storms possible?),GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"This AI-driven project analyzes multi-decadal solar activity datasets to identify and quantify periodic signals that correlate with planetary orbital mechanics. The project processes large volumes of solar observation data (sunspot numbers, solar area measurements, magnetic field data) to detect cyclic patterns and their relationship to Jupiter's orbital period, planetary conjunctions, and synodic cycles. The project validates the hypothesis that solar activity (include magnetic activity and solar storms) is modulated by gravitational influences from the planetary system, particularly Jupiter's 11.86-year orbit.
This project leverages AI to transform decades of solar observations into actionable insights for space exploration safety and scientific understanding of solar-planetary interactions.","Scientific Validation:
Quantitative verification of planetary influence on solar activity hypothesis
Enhanced understanding of solar-planetary field interactions
Improved solar cycle prediction accuracy through planetary position integration
Prediction of solar storms and theirs impact on Earth and on astronauts traveling to Moon and Mars?

NASA/Public Benefits:
Cost Savings: $2-5M annually in satellite protection through better space weather prediction
Time Savings: 90% reduction in manual solar cycle analysis (from months to days)
Mission Safety: Enhanced crew and equipment protection during solar maximum periods
Communication Systems: Improved reliability of satellite communications and GPS
ROI: 300-500% return through prevented satellite damage and improved mission planning
KPIs: 95% accuracy in 11-year cycle detection, 85% accuracy in solar maximum timing prediction","Automated Analysis Results:
Dominant periodicity detection with confidence intervals (11.1 ± 0.3 years)
Planetary correlation coefficients and phase relationships
Solar cycle phase predictions 2-5 years in advance
Anomaly detection for unusual solar activity patterns
Real-time updates of planetary modulation strength
Automated reports flagging significant solar-planetary alignment events
Risk assessments for space weather during planetary conjunctions",,,,,,,,,,,,,,,,,,,,,
NASA-857,Specifying Properties Of Dayside Magnetopause Reconnection From A Machine-Learning Model For The Earth'S Cusps,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Implementation of models of the magnetospheric CUSP using in-situ ion flux data from ESA's Cluster mission and DMSP spacecraft. The models produce 3-D ion flux distributions in response to solar wind parameters such as density, velocity and magnetic field.",Can provide information regarding dayside magnetic reconnection which is the main process that describes the energy transfer between the Sun and Earth.,Predictions of the structure of the cusp in response to solar wind parameters,,,,,,,,,,,,,,,,,,,,,
NASA-858,"Strategic Text Augmentation & Research Synthesis for Physics Innovation Narratives & Evaluations""",GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"This project is an AI-assisted daily workflow solution designed to streamline the scientific documentation process for physics researchers. The system leverages ChatGSFC's advanced language processing capabilities to transform Vilem Mikula's research notes, experimental data, and scientific observations into polished monthly reports, publication drafts, and research proposals. The platform specializes in physics domain knowledge. The project automates the time-consuming documentation aspects of scientific work, allowing researchers to focus on discovery and analysis rather than report formatting and literature synthesis.","Efficiency Improvements:
Time Savings: 70% reduction in report preparation time 
Documentation Quality: 85% increase in consistency and completeness of research documentation
Publication Output: 30% increase in publication submission rate through streamlined drafting
Grant Success: 25% improvement in proposal acceptance through AI-enhanced presentation
Knowledge Transfer: Enhanced collaboration through better-structured communication
ROI Metrics:
Estimated 200+ hours saved annually per researcher on documentation tasks
$30,000-$50,000 value creation per researcher annually through increased research productivity
40% reduction in administrative support needs for report generation
KPI: 90% researcher satisfaction with AI-generated content quality","Generated Content:
Monthly progress reports with proper scientific formatting and visualizations
Publication drafts with appropriate journal-specific structure
Research proposals with compelling narratives and clear methodology descriptions
Data analysis summaries with statistical interpretations
Conference abstracts and presentation outlines
Literature review syntheses for specific research questions
Methodology documentation with enhanced clarity and reproducibility

Infrastructure Requirements:
Access Point: Standard workstation with secure ChatGSFC interface
Storage: Encrypted local repository (5-10GB) for maintaining context between sessions
Integration: API connections to reference management software and institutional databases
Security: ITAR/EAR compliant information handling protocols
Collaboration: Multi-user interface for team contributions to shared documents
Version Control: Document history tracking and comparison features
Local Processing: Occasional offline capability for field research documentation",,,,,,,,,,,,,,,,,,,,,
NASA-860,AI Based VoIP Outage Prevention,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Classical/Predictive Machine Learning,This project is to collect the live data from Voice Over Internet Protocol (VoIP) currently resides in NASA network. Then to apply an appropriate Machine Learning technique to learn and train an AI model that can predict and prevent network outages occurring.,"Saving time, labor, and money on fixing outage issues. ","Predictions, and possibly recommendations.",,,,,,,,,,,,,,,,,,,,,
NASA-861,Quantification of Uncertainty Analysis Toolkit (QUAnT),GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The Quantification of Uncertainty Analysis Toolkit (QUAnT) is a digital-twin framework that informs and guides the design process of complex, large-scale, multidisciplinary systems throughout their life cycle, while maximizing resources (e.g., size, weight, power, cost, schedule).
QUAnT enables: 1) orders-of-magnitude reductions in computational cost through a multi-fidelity simulation approach and the most efficient sampling techniques, 2) maximization of project resources through optimal allocation and task automation, 3) model predictive capabilities through data-driven learning (digital twins), 4) quantification of uncertainty to the maximum extent possible to efficiently identify risk drivers, 5) reliability analyses for rare events through advanced statistical methods.
QUAnT lays its foundations on state-of-the-art methodologies described in peer-reviewed literature and leverages artificial intelligence and machine learning to automate and facilitate several tasks. It has successfully been applied to several engineering problems including flown NASA missions such as the James Webb Space Telescope and the ongoing Mars Sample Return, where it demonstrably brought notable savings in terms of time, cost, technical quality and efficiency.","QUAnT is expected to have a strategic, long-term, high payoff especially when used early in a project life cycle. This is advantageous as it can increase system knowledge and inform decisions when the design freedom is higher and cheaper (i.e., well before PDR, when 85% of the project’s total life cycle cost is locked in).
The anticipated ROI is tied to QUAnT’s ability to guide the mission development process while cutting down on computational cost, thus bringing notable savings in terms of time, cost and efficiency. Namely, QUAnT yields better (10%-50%) margin estimates, leading to time (<1+ year) and cost (<$200M+) savings; efficiencies in analysis cycles yield time and cost savings also thanks to the elimination of obsolete tasks and the workforce needed to perform them (as an example from a real-life case: 2.5 months, $300K for a 5-person team vs. 2 weeks, $5K for 1 person applying this technology). Finally, QUAnT is mathematically proven to provide the highest-quality results, which ensures having the best information available at hand when making decisions under uncertainty.
Note, the ROI estimates provided in here were derived from specific cases and can vary but do represent the correct order of magnitude.","Predictions, decisions",06/01/2025 00:00:00,b) Developed in-house,,Yes,MATLAB,"Mission-specific data (thermal, structural, optical, etc.)",, No,,None,Yes,,,,,,,,,,
NASA-862,Machine Learning effort to calculate Parker Solar Probe magnetometer offsets,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Testing various ML algorithms to model the magnetometer offset values at points in the orbit where the traditional methods are not available.,The previous methods of offset calculations for the magnetometer are not applicable as the probe passes through its closest approach to the sun each orbit. This is also the primary science period of the mission. We are trying to find an alternative method based on housekeeping information from the spacecraft itself since that is the source of the offsets affecting the magnetometer: the spacecraft contribution to the magnetic field readings.,"Our ML model tries to relate these offset values (calculated using factors outside the spacecraft) to the status of the spacecraft systems and narrow in on which systems are contributing to the offset values. We were able to create a model that averaged within 4 nT of the traditional method values. Unfortunately, the sparseness of the Alfvenic wave detections limited the accuracy of the model as they are only detected at most once per day. Given this limitation, we are please we were able to get within 4 nT of the traditional method.",,,,,,,,,,,,,,,,,,,,,
NASA-863,Identifying global dust and smoke over ocean using MODIS sensor,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Using ML RF/CNN to detect dust in MODIS images.,Improving the dust detection than traditional physics based dust/smoke detection to provide prior knowledge for downstream retrievals and can be used for aerosol related research and public health studies.,"pixel level dust, smoke identifications and probabilities",,,,,,,,,,,,,,,,,,,,,
NASA-865,A Forecasting Scheme For Accelerated Harmful Algal Bloom Monitoring (FASTHAB),GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,To develop an AI/ML forecast water quality model initial targeted for the Chesapeake bay.,It will enhance the STREAM water quality nowcast system with foreacast capabilities.,"Chlorophyll-A
Temperature
Salinity",,,,,,,,,,,,,,,,,,,,,
NASA-866,Instantaneous photosynthetically available radiation models for ocean waters using neural networks,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Neural network forward models were developed to predict subsurface vertical profile of instantaneous photosynthetically available radiation (IPAR) for both open ocean and coastal waters.,The models can be used to estimate IPAR profiles on open ocean and coastal waters efficiently. The models are integrated into joint retrieval algorithm (FastMAPOL/component) for satellite retrieval of IPAR using polarimetric measurments.,The outputs include surface IPAR and two fitting coefficient for IPAR's vertical profile.,,,,,,,,,,,,,,,,,,,,,
