Use Case ID ,Use Case Name,Bureau/Component,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public?,Describe the AI system’s outputs.,Date when AI use case became operational or the pilot’s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to  train, fine-tune, and/or  evaluate performance of the  model(s) used in this use  case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case’s associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.",Has pre-deployment testing been conducted for this AI use case? ,Has an AI impact assessment been completed for this AI use case? ,What are the potential impacts of using the AI for this particular use case and how were they identified?,Has an independent review of the AI use case been conducted?,"Is there a process to conduct ongoing monitoring to identify any adverse impacts to the performance and security of the AI functionality, as well as to privacy, civil rights, and civil liberties?",Has the agency established sufficient and periodic training for operators of the AI to interpret and act on its output and managed associated risks?,Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?,Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system’s outcome? ,What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
USDA-154,App for predicting soil temperature during prescribed burns,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,It is a tool to assist managers with determining the predicted soil temperature based on fuel load.,"By determining the expected soil temperature, managers can determine how best to do a prescribed burn without damaging tree root systems which could lead to tree death",Prediction of soil temperature,9/8/2025,b) Developed in-house,, No,,Soil temperatures at multiple depths during a prescribed burn,https://www.fs.usda.gov/rds/archive/catalog/RDS-2024-0079, No,,None of the above,Yes,,,,,,,,,,
USDA-155,Wildfire effects and postfire forest dynamics,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Predicting what a forest will be like after it burns is difficult since forests respond to disturbance in a variety of complex ways and forest conditions change over the first few decades after a fire.,Improving our understanding of how forests in the Pacific Northwest respond in the years after a wildfire to provide information for management of fire-affected areas.,Outputs identified predictors of different post-fire forest outcomes.,1/6/2025,b) Developed in-house,, No,,Publicly available forest resource data collected by the Forest Inventory and Analysis program of the USDA Forest Service.,, No,,None of the above, No,,,,,,,,,,
USDA-156,Flight Aviation Safety system 2.0,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Emergency Management,Classical/Predictive Machine Learning,"AI based recommendation system to enhance flight safety by analyzing data, predicting potential safety issues, and aiding in real-time decision-making.",Real-time data analysis reduces decision-making time for public safety,AI system outputs predictions and recommendations.,,,,,,,,,,,,,,,,,,,,,
USDA-157,Forest habitat mapping for marbled murrelets,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Mapping marbled murrelet nesting habitat across the Pacific Northwest over the last 30+ years.,High accuracy maps that can be used by land managers for planning and monitoring requirements under the Northwest Forest Plan.,Maps that predict the nesting habitat suitability for marbled murrelets.,9/1/2024,a) Purchased from a vendor,American Museum of Natural History, No,,We used an existing research dataset of marbled murrelet nest locations to train the model. ,, No,,None of the above, No,,,,,,,,,,
USDA-158,Washington state forest inventory maps,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,"The AI use case produces informational forest maps for the state of Washington, which may be used to support environmental monitoring and planning.",The AI system improves access and usability of forest data by creating informational maps for end users.,"The AI system outputs 28 different forest inventory maps including (but not limited to) trees per acre, aboveground biomass, tree height, timber volume, and species composition.",7/1/2025,c) Developed with both contracting and in-house resources,University of Washington - Natural Resource Spatial Informatics Group, No,,Data from the Forest Inventory and Analysis program were used to train the models. Historical climate data and digital aerial photogrammetric point clouds collected as part of the National Agriculture Imagery Program were used as covariates.,, No,,None of the above, No,,,,,,,,,,
USDA-159,Forest Vegetation Simulator (FVS) Helpdesk Chatbot RAG,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Generative AI,"The Chatbot will respond to questions from users of the model (for both public and federal users), reducing staff time spent responding to questions. ","Solution enhances user support, reduces staff burden, and strengthens the quality of FVS.",Text-based output from a natural-language chat interface capable of answering common questions. ,,,,,,,,,,,,,,,,,,,,,
USDA-160,Long-term monitoring of northern spotted owl habitat and populations,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Machine learning methods are used to model and map forest structure and species composition as it relates to owl nesting and roosting in forests. Machine learning is also used to model and map annual time series of owl habitat that includes forest type and other variables, such as topography.",The time series maps are used to meet legal owl monitoring requirements and avoid potential litigation if not done. They also build trust with the general public and provide easy access for anyone to explore how these forests and habitats are changing through time in response to forest disturbances and growth.,"Annual time series of maps and periodic monitoring reports that summarize the data to inform adaptive management, such as Forest Plan revisions and amendments. ",10/1/2011,b) Developed in-house,, No,,"Species (owl) locations and environment predictor variables (e.g., forest structure and species composition covariates, topography, etc.). ",, No,,None of the above, No,https://biodiversityinformatics.amnh.org/open_source/maxent/ ,,,,,,,,,
USDA-161,Feral Ungulate Mitigation,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,"Feral ungulates (animals with hooves) are not native to Hawaii, cause agricultural and forest damage, and can also transmit disease. Camera traps help to manage feral ungulate populations moving into fenced areas, but human image processing is time consuming and inefficient.  The Hawaii AI-supported feral ungulate computer vision program was developed to process camera trap data quickly, provide managers with statistics on the feral ungulate populations, and provide real time surveillance to management operations.   ",Reduce cost and human resources needed to process vast amounts of camera trap images. The program will help conservation managers strategically prioritize mitgation and control efforts. ,"The output is classification of presence or absence of target animals, time of target animal activity, and tracking the abundance of target animal over time.    ",,,,,,,,,,,,,,,,,,,,,
USDA-162,Fire Containment Suitability (FireCON),Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Emergency Management,Classical/Predictive Machine Learning,Identification and assessment of appropriate wildland fire containment locations to improve the quality of information available to incident command teams.,Improved efficiency and effectiveness of fire containment strategies.,"Outputs daily mapped probabilities summarizing weather, wind, topography, fuels, potential fire behavior, and other variables showing the suitability of wildfire containment for an area around an active wildfire and reduce uncertainty during wildfire management.",6/23/2025,b) Developed in-house,, No,,"Data includes the annual west-wide Potential Control Location Suitability model outputs from 2020-2023, Topofire daily soil moisture and soil moisture anomaly, hourly weather data from National Oceanic and Atmospheric Administration (NOAA), satellite (VIIRS) 12-hour fire detections from National Aeronautics and Space Administration (NASA), National Infrared Operations (NIROPS) high-resolution daily fire progression tracking from 2020-2023.",, No,,None of the above,Yes,,,,,,,,,,
USDA-163,Potential Control Location Suitability,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Emergency Management,Classical/Predictive Machine Learning,Identification of strategic fire control locations for pre-fire planning and wildfire management,"Improving wildfire management outcomes, communication during fire planning, prioritizing investments for strategic fuel treatments.",A predictive map of relative fire control suitability given past fire containment successes and failures.,5/8/2017,b) Developed in-house,, No,,"20 years of national fire perimeters, fire behavior model outputs, road and trail systems, fireline production rates, natural barriers, digital elevation models, and firefighter suppression difficulty index.",, No,,None of the above,Yes,,,,,,,,,,
USDA-164,Alisha OCR Reader,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Emergency Management,Classical/Predictive Machine Learning,Automates data extraction from OF-286 (Emergency Equipment Use) invoice forms,"Enhanced workflow efficiency, better knowledge management, improved accuracy & consistency, frees up staff to focus on strategic tasks rather than manual document handling.",Outputs an excel document ,3/31/2025,b) Developed in-house,, No,,OF-286 PDF fire invoices ,, No,,None of the above,Yes,,,,,,,,,,
USDA-165,Recreation One Stop use of AI,Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Service Delivery,Generative AI,"There is an administrative burden in booking sites and planning trips to Forest Service land. Recreation One Stop is a tool to support bookings and provide alternatives where there is no availability, provide awareness via recommendations of various inventories to support trip planning, and to capture large amounts of content into a summarized version for easier readability within ratings and reviews.","Benefits to the public include improved customer service, increased occupancy rates at federal campgrounds, greater stewardship of natural resources and the environment, and removing barriers to the American public in support of Executive Order 14179.","Some expected AI system outputs include personalized recommendations, ratings and reviews summaries, and filtered user interfaces that enable users to search for campgrounds and campsites activity.",5/21/2025,a) Purchased from a vendor,Booz Allen Hamilton,Yes,Recreation.gov,"Data consisted of recreation features including availability , geolocation, distance, and amenities",, No,,None of the above,Yes,,,,,,,,,,
USDA-166,Timber products output Sample Design Evaluation and Enhancement  ,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Improve U.S. roundwood production estimates on the county level,Better estimates of roundwood utilization will improve analysis of timber resource use across the U.S. ,Outputs an analysis assessing impacts from current methdodology in contrast with alternative approaches.,,,,,,,,,,,,,,,,,,,,,
USDA-167,LANDFIRE,Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Emergency Management,Classical/Predictive Machine Learning,Improve fire behavior prediction by mapping vegetation and detecting disturbances for the United States contributing to the downstream production of current fuel types and fuel metrics.,"Increasing accuracy in fire behavior prediction models and assessing, prioritizing, and reducing risk for firefighters and land managers.","LANDFIRE produces a comprehensive, consistent, and scientifically credible collection of more than 25 geospatial layers focusing on disturbance, vegetation, and fuel metrics that are used by fire behavior modeling on active wildfires, as well as for prescribed fire planning and smoke management.",1/1/2004,b) Developed in-house,,Yes,LANDFIRE,"The Landscape Fire and Resource Management Planning Tools (LANDFIRE) reference database includes plot data from across the United States including Forest Inventory and Analysis plots, Bureau of Land Management Assessment Inventory and Monitoring plots, National Resources Conservation Service National Resource Inventory plots as well as other national and state inventories. ",https://catalog.data.gov/dataset/landfire-annual-disturbance-conus-2023; https://catalog.data.gov/dataset/landfire-2023-existing-vegetation-height-evh-conus, No,,None of the above,Yes,,,,,,,,,,
USDA-168,NRE FS Customer Relationship Manager New Hire Experience (NRE FS CRM NHE) CSAM ID 2639,Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Human Resources,Generative AI,"There is a need for assisting end users in human resources, business and finance solutions, or processes and procedures ",Provide guidance and assistance to the end user.  ,"Self help outputs text-based information and solutions for human resources, business and finance needs.  ",1/1/2024,a) Purchased from a vendor,Salesforce,Yes,NRE FS Customer Relationship Manager New Hire Experience (NRE FS CRM NHE) ,The data is text-based human resources and business and finance solutions information/guidance. ,, No,,None of the above,Yes,,,,,,,,,,
USDA-169,NASS Data Dissemination Agent,"Research, Education and Economics",a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Service Delivery,Generative AI,National Agriculture Statistics Service (NASS) Data is relatively difficult to retrieve. The intent of this project is to make that data more accessible to users.,More access to data should lead to more public use of the data and higher customer satisifaction scores.,Outputs information regarding National Agricultural Statistic Service (NASS) Agricultural Statistics.,,,,,,,,,,,,,,,,,,,,,
USDA-170,Preseason Corn and Soybeans Forecasts,"Research, Education and Economics",a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Pre-season planted acreage forecasts for corn and soybeans are needed for decision-making by the National Agriculture Statistics Service (NASS) agricultural statistics board,Improves information availability to the National Agriculture Statistics Service (NASS) agricultural statistics board for strategic decision-making.,Crop type probabilities and state level planted acreage forecasts for corn and soybeans,,,,,,,,,,,,,,,,,,,,,
USDA-171,Farm Services Agency (FSA) Acreage Coverage Evaluation,"Research, Education and Economics",a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Since not all farms sign up for Farm Service Agency (FSA) programs, total crop acreage is estimated by National Agriculture Statistics Service (NASS) for use in its programs.",National Agriculture Statistics Service (NASS) uses predicted crop acreage as a benchmark in its annual acreage estimates programs.,State level estimates of Farm Service Agency (FSA) under coverage,,,,,,,,,,,,,,,,,,,,,
USDA-172,VegScape/CropCASMA Data Portals,"Research, Education and Economics",b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Shows crop conditions and soil moisture availability, which serve as inputs to increase the quality of crop modeling","Supplements weekly Crop Progress and Condition Reports, provides direct input into disaster assessments on agriculture, and provides early disaster anomaly warnings",Provides both quantitative and qualitative output products in support of Crop Progress and Condition and Disaster Assessment reporting,1/1/2012,c) Developed with both contracting and in-house resources,George Mason University, No,,"NASA Moderate Resolution Imaging Spectroradiometer (MODIS), NASA Soil Moisture Active Passive (SMAP), National Agriculture Statistics Service (NASS) historical crop progress and condition reports.",https://catalog.data.gov/dataset/vegscape-vegetative-condition-explorer; https://www.nass.usda.gov/Research_and_Science/Cropland/metadata/metadata_cropcasma.htm, No,,None of the above,Yes,,,,,,,,,,
USDA-173,Public Comments Analysis,Office of the Chief Information Officer,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Service Delivery,Generative AI,Public comments analysts are overburdened with processing large volumes of public comments. This delays regulatory review and burdens policy staff.,Automation of tedious and repetitive tasks reduces cost and increases speed and efficiency when addressing public comments ,Outputs are CSV files containing extracted comment information necessary for analysts to address issues and recommendations,,,,,,,,,,,,,,,,,,,,,
USDA-174,Voiceover App,Office of the Chief Information Officer,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Service Delivery,Generative AI,"Recording audio for videos (onboarding, educational materials, etc.) is costly and time consuming.  ",Reduces labor hours and cost required to record and edit spoken audio ,Audio file of an individual speaking the text script that was provided as input,,,,,,,,,,,,,,,,,,,,,
USDA-175,AI for Environmental Permitting Review ,Office of the Chief Information Officer,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,b) Presumed high-impact but determined not high-impact,"AI is not making any final decisions, only recommendations for authorized staff to review.",Energy & the Environment,Natural Language Processing (NLP),"The environmental review process is lengthy and burdensome. We are using AI at several steps in our proposed environmental review solution, including an AI evaluation stage and in comment processing.","Faster time to environmental permit issuance, with fewer people and hours needed to get to a ""break ground"" phase.","For the AI evaluation stage, the output is a prediction that a given application is either a simple ""Categorical Exclusion,"" or requires more human intervention. ",8/19/2025,b) Developed in-house,, No,,"For AI evaluation, we've fed it libraries of ""Categorical Exclusion"" rules and the National Environmental Policy Act (NEPA) regulations. For comment processing, machine learning based on prior comments, as well as relevant environmental rules and regulations being fed in as context.",, No,,None of the above,Yes,,,,,,,,,,
USDA-176,PHIS Export Library Assistant,Food Safety,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Service Delivery,Generative AI,"Members of the meat industry apply for export certification in Food Safety Inspection Service's (FSIS) Public Health Information System (PHIS) and then FSIS employees review and certify that the exported products meet foreign country requirements. These foreign country requirements are often complicated and text based, requiring industry applicants and FSIS employees to find and read complicated text documents to verify that proposed export products meet applicable requirements. This AI use case is intended to aid PHIS users in finding foreign country requirements applicable to a particular export application through a context-aware chat-capable AI interface integrated in the PHIS user interface. ","This tool would be expected to reduce the labor costs and time spent by industry applicants and Food Safety Inspection Service (FSIS) employees in creating, submitting, and approving meat and poultry exports. The tool should also decrease mistakes, reducing the need for replacement certificates. ",The Export Library assistant would output text-based suggestions and links for review from the applicable Export Library document about the applicable requirements.,,,,,,,,,,,,,,,,,,,,,
USDA-177,Chatbot for IT Customer Help Desk,Office of the Chief Information Officer,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Generative AI,The chatbot assists USDA staff with IT issues by answering common questions and initiating a support request if additional help is needed.,"Faster resolution of IT issues for customers, cost avoidance through fewer requests to helpdesk, decreased burden on helpdesk staff.","The chabot provides customers with self-service knowledge articles. If the issue cannot be resovled by self-service, the chatbot will initiate a support request to USDA's IT service managment system.",6/30/2025,c) Developed with both contracting and in-house resources,Steampunk,Yes,AgCloud,The chatbot retrieves IT knowledge articles that provide information about IT issues and the steps needed to resolve them. This dataset is internal to USDA. ,, No,,None of the above, No,,,,,,,,,,
