use_case_id,agency,use_case_name,vendor_name,system_name,development_type,ai_classification,problem_statement,expected_benefits,candidate_products,pre_classification
63258,HHS,GrantSolutions AI Writing Assistant,Internal Federal Shared Service (GrantSolutions),GrantSolutions,c) Developed with both contracting and in-house resources,Generative AI,Program staff authoring NOFOs need capabilities to simplify language and ensure NOFOs remain compliant with the Plain Writing Act of 2010.,"Automates repetitive workflows, reduces manual effort, delivers actionable insights, and accelerates accurate, transparent decisions across the grant lifecycle.",,high_signal
63259,HHS,GrantSolutions Recipient Risk Tool,Internal Federal Shared Service (GrantSolutions),GrantSolutions,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"Grant managers need an efficient method to conduct risk assessments before issuing financial assistance awards to prevent fraud, waste, and abuse.","Automates repetitive workflows, reduces manual effort, delivers actionable insights, and accelerates accurate, transparent decisions across the grant lifecycle.",,high_signal
63260,HHS,GrantSolutions Non?Competing Continuation Approval Tool,Internal Federal Shared Service (GrantSolutions),GrantSolutions,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Grant managers need an efficient workflow to identify and analyze differences in non-competing continuation budgets and narratives from year to year.,"Automates repetitive workflows, reduces manual effort, delivers actionable insights, and accelerates accurate, transparent decisions across the grant lifecycle.",,high_signal
63261,HHS,GrantSolutions Helpdesk Agent,Internal Federal Shared Service (GrantSolutions),GrantSolutions,c) Developed with both contracting and in-house resources,Generative AI,GrantSolutions users need an efficient method to get answers to their login and access-related questions.,"Automates repetitive workflows, reduces manual effort, delivers actionable insights, and accelerates accurate, transparent decisions across the grant lifecycle.",,high_signal
63262,HHS,GrantSolutions Non?Competing Continuation Review Tool,Internal Federal Shared Service (GrantSolutions),GrantSolutions,c) Developed with both contracting and in-house resources,Generative AI,Grant managers need an efficient workflow to identify and analyze differences in non-competing continuation budgets and narratives from year to year and ensure narratives promote federal priorities and mission.,"Automates repetitive workflows, reduces manual effort, delivers actionable insights, and accelerates accurate, transparent decisions across the grant lifecycle.",,high_signal
63269,HUD,Counterparty Risk Anomaly Detection,"Deloitte Consulting, LLC",Ginnie Mae Reporting and Feedback System (RFS),c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Ginnie Mae is responsible for analyzing counterparty risk profiles of mortgage issuers who participate in Ginnie Mae’s program. Ginnie Mae analyzes data from multiple sources to identify potential risks and areas of focus.,"To enhance the identification of data patterns, Ginnie Mae uses machine learning algorithms, specifically clustering and genetic techniques. These algorithms detect potential risk areas, enabling a focused approach to subsequent analysis by Ginnie Mae staff.",,high_signal
63270,HUD,Subledger Data Quality Machine Learning,Ernst & Young,Ginnie Mae Financial Accounting System,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Ginnie Mae analyzes Master Sub-Servicer (MSS) transaction data on a monthly cadence.   The AI solution allows Ginnie Mae to detect anomalies in this data that would not be detected via traditional methods.,"Through its use of machine learning models, Ginnie Mae has enhanced its ability to identify data inconsistencies and exceptions associated with its MSS transaction data. Through the early detection of these anomalies, Ginnie Mae is able to reduce manual adjustments to financial reporting, which yields cost and time savings.",,high_signal
63271,HUD,"Automated Draft Narrative Reports

Previously ""Automating Draft Counterparty Credit Narrative Reports""; have since expanded to general enterprise use.","Deloitte Consulting, LLC",Ginnie Mae Reporting and Feedback System (RFS),c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),Ginnie Mae uses Natural Language Generation (NLG) to implement coded rules and generate draft narratives/memos. This application of AI enables processing efficiency and reduces errors that can occur in a manual process.,"The AI solution ensures greater accuracy in reporting, time savings, and eliminates manual steps that are prone to error.",,high_signal
63281,NARA,A1 Museum AI Project,Cortina,Exhibit Personalization System (EPS),c) Developed with both contracting and in-house resources,Generative AI,The AI is intended to solve the problem of limited document discoverability and intensive manual labor by using automated tagging to personalize the visitor experience and make millions of digital records instantly accessible.,"NARA will use AI generated tags and topics to recommend and make records available to visitors from a pool of approximately 2 million digital records, freeing up staff time and enhancing and personalizing the user experience for A1 museum visitors.",,high_signal
63307,NASA,NextGen Advanced Methods: ATCSCC Webinar Speech2Text and Analysis,NLP,ATCSCC,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"The Advanced Methods project explores the use of innovative and emerging technologies to drive post operational analysis of Traffic Management for aircraft. Technologies such as machine learning, (ML), artificial intelligence (AI), and advanced data analytics for use in improving the FAA’s traffic flow management. In this specific use case, our aim is to use deep learning to convert live ATCSCC webinar meeting conversation to text, and then apply natural language processing to the converted text data for later analysis and review.","The Advanced Methods project explores the use of innovative and emerging technologies to drive post operational analysis of Traffic Management for aircraft. Technologies such as machine learning, (ML), artificial intelligence (AI), and advanced data analytics for use in improving the FAA’s traffic flow management. In this specific use case, our aim is to use deep learning to convert live ATCSCC webinar meeting conversation to text, and then apply natural language processing to the converted text data for later analysis and review.",,high_signal
63308,NASA,NextGen Data Analytics: Letters of Agreement,FAA,Operated in an approved enclave,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"Today, operation constraints are documented via Standard Operating Procedures (SOP) and Letters of Agreement (LOA) and are not made available to the public in a consistent manner. SOPs are specific to an air traffic control facility and specify the procedures necessary for safe operation in the sector. LOA outline agreements establishing procedures and responsibilities between two parties (including crossing restrictions, holding patters, emergency procedure coordination, etc.) The LOA/SOPs are published internally as scanned PDFs and are the responsibility of the facility to maintain. To reduce the manual effort of tagging the documents for ease of reference, there is an opportunity to use modern data analytics and machine learning to produce and disseminate constraints in a standardized manner.",Providing LOAs or SOPs to stakeholders will enable flight planners (pilots and vendors) to study or ingest this information and thereby plan flight trajectories that remain consistent with air traffic constraints. It is also fundamental to Next Gen capabilities to share accurate data for purposes of creating new noise abatement procedures; improve NAS information for common situational awareness and alignment to implement new tools to assist in future time-based flow management.,Aware Biometrics (via 'Aware'),high_signal
63687,NASA,GLOBE Program - Image processing,"Mitchell Vantage Systems (MVS), subcontracted to Astrion",AWS,c) Developed with both contracting and in-house resources,Computer Vision,"Processing photo images submitted to the GLOBE Program through the GLOBE Observer app. These photos relate to submissions of Clouds, Mosquito Habitat Mapper, Trees, and Land Cover observations. GLOBE data is processed through Amazon Rekognition SAAS (software as a service) tool to automate the image approval process (Amazon 2024).",The AI photo review system has dramatically reduced staff time needed to screen photos and therefore enabled NASA to process these crowdsourced data at a much faster speed. This leads to significantly more surface-based Earth system observations to enable science and societally relevant applications that would not be possible otherwise.,,high_signal
63688,NASA,Cloud Account Allocation Plan (CAAP) Cost Analytics Support,Raytheon,Earthdata Cloud,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Utilize machine learning to predict and allocate Cloud Account Allocation Plan (CAAP) cost and egress limits based on past actuals.,"Automates predictions based on past performance figures, saving human time and effort and enabling more accurate cost estimates.",,high_signal
63753,NTSB,Voice to text transcription,Air Force Research Lab,N/A,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),Speed and efficiency of screening vehicle voice recorders,"Improved timeliness of screening recorders, directing resources to potentially relevant information for further investigation",Aretec SEARCH (via 'SEARCH'),high_signal
63755,NTSB,Dataminr,Dataminer,N/A,a) Purchased from a vendor,Other,Timely awareness of transportation safety events,Improved notification and response time for transportation safety events,Aware Biometrics (via 'Aware'),high_signal
63763,SBA,Business Development,Microsoft,Microsoft Bing CoPilot and ChatGPT4,Purchased from a vendor,Generative AI,SBA program managers need data-driven insights to identify at-risk 8(a) participants and predict growth trajectories to provide timely interventions and support.,"Predictive analytics enable proactive intervention for at-risk participants, optimize resource allocation for business development specialists, and improve success rates for 8(a) program participants.",ChatGPT (via 'ChatGPT'),high_signal
63776,SBA,GovCon Match,Internally created,Certify.sba.gov,Developed in-house,Machine Learning (Classification/Prediction),Identifying trends and predicting outcomes requires analysis of complex data patterns that are difficult to assess manually.,"Data-driven predictions, identification of patterns not visible through manual review, improved decision-making accuracy, and optimized resource allocation.",,high_signal
63777,SBA,Business Plan Creation,https://startup.utah.gov/business-plan/,Business Plan Creation,Developed in-house,AI-Enabled Application,Manual processing and analysis is resource-intensive and may lack the speed and consistency needed for effective operations.,"Increased operational efficiency, reduced manual processing time, improved consistency and accuracy, and enhanced mission delivery.",,high_signal
63799,SEC,Training Conversation Tool,SkillSoft,,a) Purchased from a vendor,Natural Language Processing (NLP),Strictly a training tool for practicing conversations on a variety of topic areas.,Improves communication and collaboration skills of the SEC workforce,,high_signal
63809,SEC,Name Matching,Aretec Inc,NEAT,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Name Matching - Identifies certain similarities in names across data sources. This allows staff to more easily compare information across data sources.,Identifies certain similarities in names across data sources. This allows staff to more easily compare information across data sources.,,high_signal
63810,SEC,Parsing of Plain Language Descriptions to Machine-Readable Notations,Aretec Inc,NEAT,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Automates conversion of plain-language text into machine-readable standardized notations. This permits ease of analysis,Automates conversion of plain-language text into machine-readable standardized notations.  This permits ease of analysis.,Descript (via 'Descript'),high_signal
63816,SEC,Identification of Potentially Manipulative Activity in Certain Accounts,Aretec Inc,NEAT,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Identifies accounts with certain activity of interest for further review by an examination team,Identifies accounts with certain activity of interest for further review by an examination team.,,high_signal
63825,SEC,Extracting data from FOIA request forms,GDIT,,c) Developed with both contracting and in-house resources,Generative AI,Capture and load data from a FOIA form into a SharePoint list for tracking through the eDiscovery Lifecycle. This alleviates time demands for manual entry from one system to another.,To capture and load data from a FOIA form into a SharePoint list for tracking through the eDiscovery Lifecycle.,,high_signal
63847,SEC,Legal Research (Lexis+),RELX (Lexis),,a) Purchased from a vendor,Generative AI,More efficient legal research.,Improved search results and extracted information to assist in legal research activities.,Aretec SEARCH (via 'SEARCH'),high_signal
63864,SSA,Quick Disability Determinations Model,IBM,eDIB (electronic disability),a) Purchased from a vendor,Classical/Predictive Machine Learning,Used to screen initial applications to identify cases where a favorable disability determination is highly likely and medical evidence is readily available to prioritize this workload and expedite case processing.,"QDD predictive model quickly identifies and prioritizes disability claims processing for individuals with severe, life-threatening, or life-altering conditions. This approach reduces processing times, improves access to benefits for those in urgent need, and allows the agency to allocate resources more efficiently, ultimately enhancing service delivery for the public.",,high_signal
63865,SSA,Mobile Wage Reporting,AWS,Supplemental Security Income Record Maintenance System (SSIRMS),c) Developed with both contracting and in-house resources,Computer Vision,Uses AI to extract text/data from scanned images/documents representing pay stubs or payroll information to enable faster processing.,Increased speed and accuracy,,high_signal
63866,SSA,"SSA 800# Public Question & Answer Bot and OIG Hotline recording of fraud, waste and abuse.",AWS,Enterprise Contact Center,a) Purchased from a vendor,Generative AI,"The Q&A bot answers callers questions using approved FAQs found on SSA.GOV. Support is provided in both English and Spanish. Calls answered solely by the bot reduce the wait for other callers needing agent service. A bot will also ask questions and populate responses from the public as a record of their interaction when reporting fraud, waste and abuse.",Improved service to the public by answering calls faster and lowering expense to handle transactions.,,high_signal
63869,SSA,Speech to Text Video Transcription,Microsoft,Hearing Recording and Transcription,a) Purchased from a vendor,Natural Language Processing (NLP),Generate transcript from recorded audio of disability hearings,"The Speech-to-Text Video Transcription solution improves efficiency and accuracy in disability hearings by auto-generating searchable transcripts, reducing manual work, and enabling faster, more informed decisions that benefit both the agency and the public.",Aretec SEARCH (via 'SEARCH'),high_signal
63872,SSA,Therapy Chatbot - Text-Based Mental Health Support for SSA Employees,Espyr/Acentra,,a) Purchased from a vendor,Generative AI,"This AI use case is a therapy chatbot that employees can access on their own personal devices and is designed to provide confidential, immediate mental health support to employees, helping address stress, emotional challenges, and limited access to traditional counseling services.","The chatbot promotes employee well-being, reduces stress, and enhances resilience, which supports a healthier workforce and improves overall agency performance and public service delivery.",,high_signal
63880,SSA,Training Interaction Simulator,Skillsoft/Percipio,Percipio,a) Purchased from a vendor,Generative AI,Employees do not have an avenue to practice interactions with a variety of clients/coworkers with a range of attitudes.,Users gain practice with simulated conversations and receive constructive feedback on their responses.,,high_signal
63890,State,AI-Augmented Declassification Review,Deloitte,N/A,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"The amount of documents, particularly cables and emails, that require declassification review increases exponentially in the next few years. Manual review is unsustainable and expensive given the number of cables (in the hundreds of thousands) and emails (increasing from hundreds of thousands to millions).","The expected benefits and positive outcomes from using AI are cost savings by reducing the need of manual reviews, reduce labor in cable review by up to 80%, reduce the time needed for annual review, and create more consistency in the review process.",,high_signal
63899,State,Within Grade Increase Data Extraction Automation,GCP,N/A,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"Moving large amounts of data from paper and/or digital forms into a digital system can be challenging, time intensive, and costly.",Lower processing time and resources for cost savings.,,high_signal
63900,State,DS-5528 Promissory Note Automation,Google,N/A,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"Moving large amounts of data from paper and/or digital forms into a digital system is challenging, time intensive, and costly.",A reduction in processing time and needed resources to lower costs to complete tasks.,,high_signal
63908,State,AI Research Engine (AIRE),Deloitte,Data.State-SBU,c) Developed with both contracting and in-house resources,Generative AI,"The need to improve the quality of reporting from the continuously growing sources of information through the categorization, summarization, and translation of information. Includes formerly titled use case ""J Reports Data Collection & Management Tool (DCT).""","AI enables the quick categorization, summarization, and translation of data to make it easily accessible for quicker drafting of higher quality reports, resulting in staff time savings, reduced redundant workload, and better information to support the mission. Significant reduction in time and costs required to create higher quality reports.",Aretec SEARCH (via 'SEARCH'),high_signal
63914,State,Natural Language Processing (NLP) for Foreign Assistance Appropriations Analysis,Guidehouse,FACTS Info,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),Summarizing the key points of a lengthy report using AI.,The NLP application reduces the time needed to extract congressional directives from the annual appropriations bill which ultimately shortens the cycle time for generating the report detailing the annual allocation of U.S. foreign assistance funds to foreign countries and international organizations (i.e. the 653(a) report).,,high_signal
63916,State,FA.gov PII Picker,Guidehouse,N/A,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"The need to streamline a process, improve accuracy, and provide validation checks. The previous process to identify Personally Identifying Information (PII) required additional layers of manual verification.",Additional support to ensure data and privacy protections in public facing databases with less manual time and effort.,,high_signal
63917,State,Integrated Country Strategy (ICS) Turbo,Guidehouse,N/A,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),The need to conduct thematic analysis on large volumes of Integrated Country Strategy (ICS) data in a comprehensive and time efficient manner.,"Increased capacity of personnel to identify lessons learned and best practices by leveraging historical documentation.  This is intended to be accomplished by decreasing the time and effort spent reading, synthesizing, and categorizing the contents of historical Integrated Country Strategies (ICS).",,high_signal
63918,State,FA.gov RedactAid,Guidehouse,N/A,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,The need to improve data quality of information and prevent sensitive data from being published to ForeignAssistance.gov.,Reduced effort and improved consistency and accuracy in protecting sensitive information from getting published in public-facing databases.,,high_signal
63932,State,Walter:  Generative AI Support Bot,Microsoft,DOS-O365,a) Purchased from a vendor,Generative AI,The need to more effectively focus on critical customer requests with existing resources.,Cost savings and reduced customer wait times by addressing Tier 0 and Tier 1 requests without human intervention.,Custom In-House AI (via 'Custom'),high_signal
63938,State,WHA/EX Information Management,Microsoft,DOS-O365,c) Developed with both contracting and in-house resources,Generative AI,"Knowledge Management for administrative and IT related processes. Formerly known as ""Low Earth Orbit (LEO)  Budget Office Inquiries"" to answer questions frequently asked about budget.",Cost savings and reduced customer wait times.,Custom In-House AI (via 'Custom'),high_signal
63941,State,TIP Report Research Translation,"Deloitte, AzureAI",AzureAI Translator,c) Developed with both contracting and in-house resources,Generative AI,"The TIP Report Translation AI system provides informal, unofficial translations for materials related to the annual Trafficking in Persons report.  This capability saves staff time and allows researchers and drafters to focus on critical report needs, such as identifying and resolving data gaps.","This capability saves staff time and allows researchers and drafters to focus on critical report needs, such as identifying and resolving data gaps.",Aretec SEARCH (via 'SEARCH'),high_signal
63943,State,NIV Adjudication Review Recommendation Engine (ARRE),Guidehouse,N/A,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"ARRE is used to make post-adjudication managerial quality assurance review time more efficient. The current required managerial review of cases includes a randomly selected portion, which is not optimized to help managers allocate time toward cases where secondary review is most likely to surface documentation gaps, policy-complex adjudications, or process compliance issues. As a result, managers may spend review capacity on routine cases while missing opportunities to identify coaching needs or quality issues within the fixed review window.","The primary purpose of ARRE is to support the post-adjudication, managerial quality assurance review workflow by helping managers efficiently meet existing review requirements through queue ordering and prioritization. This provides more efficient use of manager review time and more consistent post-adjudication oversight by better targeting the fixed, required managerial review effort toward cases with atypical attributes that warrant a second look for quality assurance purposes. The expected benefits are improved review consistency and improved documentation of decision-making.",,high_signal
63947,State,Live Consular AI Language Augmentation (LCALA) - OCS/ACS Pilot,Microsoft,N/A,a) Purchased from a vendor,Natural Language Processing (NLP),"LCALA OCS/ACS Pilot aims to close language gaps in routine, time-sensitive citizen services by providing on-demand interpretation for calls and in-person interactions. Today, limited interpreter availability and uneven reliance on bilingual staff can cause delays, confusion, and repeat contacts when conveying guidance or coordinating with local authorities. LCALA seeks to improve clarity and timeliness of these communications, reducing callbacks and handoffs, while remaining assistive only and not replacing certified interpreters where required.","Faster, clearer OCS/ACS communications; Fewer repeat contacts and escalations; Service equity and accessibility; Staff efficiency; Interagency coordination.",,high_signal
64134,USDA,NAL Automated Indexing,Expert AI (Cogito),ARSAzure,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"Library content grows rapidly every year as knowledge expands, but it isn't possible for a small team of librarians to organize it manually, efficiently, and accurately at scale.",This system automatically assigns word tags to agricultural research articles from a controlled list of terms provided by the National Agricultural Library Thesaurus (NALT). The tags can be used to look up and retrieve articles. Using these tags benefits users by making it easier to find the content they are looking for.,Aretec SEARCH (via 'SEARCH'),high_signal
64144,USDA,Forest Health Detection Monitoring,RedCastle Resources,,c) Developed with both contracting and in-house resources,Computer Vision,This project monitors forest health by detecting tree damage through changes in light patterns collected by satellites.,This detection method helps the Forest Health Protection program monitor forested areas that can't be checked on the ground or with aerial surveys.,,high_signal
64171,USDA,FSA FLP Chatbot,Amazon Web Services,,c) Developed with both contracting and in-house resources,Generative AI,This AI use case is researching program handbooks and generating contextually and factually accurate responses from highly technical Farm Loan Program information.,Empowers employees to provide better service and cost savings via faster response times to program-specific questions. Increases accuracy of content and knowledge in program delivery.,Aretec SEARCH (via 'SEARCH'),high_signal
64184,USDA,Equine Operations and Populations Dataset for the U.S.,Colorado State University,,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,The purpose of this case is to develop a dataset that addresses the problem of not having complete information about where horse farms are located and how many horses they have.,"Developing this dataset/model provides detailed data on horse farm locations and populations, which is essential for emergency preparedness and response and for predicting the spread of equine (horse or members of the horse family) diseases.",,high_signal
64187,USDA,NASSportal Intranet Agent,Microsoft,O365,c) Developed with both contracting and in-house resources,Agentic AI,Quick identification of internal policies and procedures for staff to execute programs,Increased data quality and program efficiency,,high_signal
64189,USDA,Incident Invoice Document Understanding,UI Path,,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"Staff is overburdened by manual document handling, resulting in less time to focus on high-value strategic tasks. This tool automates data extraction from forms and invoices.","Enhanced workflow efficiency, better knowledge management, improved accuracy and consistency, frees up staff to focus on strategic tasks rather than manual document handling.",,high_signal
64203,USDA,Wildlife Deterrent System,Chiral Software,,c) Developed with both contracting and in-house resources,Computer Vision,"The purpose of the AI device is to keep coyotes out of a fenced area by blocking their entry through a gap in the fence, while still allowing other wildlife to pass through.","The benefits include making ecological research possible that couldn't be done otherwise, and saving time by reducing the need to watch camera footage and manually control the fence.",Aretec SEARCH (via 'SEARCH'),high_signal
64206,USDA,AI for regional forest mapping and monitoring,Oregon State University,,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,The purpose of this model is to use existing satellite images and forest survey data from the USDA Forest Service to create detailed maps of forest structures. Continuing research to understand and communicate errors and uncertainties in mapping and to improve algorithms over time.,"In addition to basic and applied research innovations, the application provides maps of forest structure (e.g., tree density and size, timber volume) and composition (tree species) which supports National Environmental Policy Act (NEPA) and other planning operations. These data may provide cost savings by either reducing the need to generate independent data through geographic information systems or field work. This research will help land managers be more effective and efficient with their planning.",Aretec SEARCH (via 'SEARCH'),high_signal
64222,USDA,ARGUS AI Supply Chain Interference,ACCRETE AI Government,ARGUS,a) Purchased from a vendor,Agentic AI,Identify potential risks in the supply chain.,"As a specialty-focused information resource, ARGUS AI Supply Chain Influences core strength is its ability to collect, organize, and summarize open-source information relating to suppliers.",,high_signal
64223,USDA,GovChat,Microsoft,ARS AzureGov,a) Purchased from a vendor,Generative AI,AI assistant that helps with time consuming tasks such as getting answers to general inquiries using natural language,A general chatbot without a proprietary interface that can accelerate completion of mundane tasks by employees,,high_signal
64233,USDA,Vegetation Specifications Suite (VegSpec),"Precision Sustainable Agriculture Group, North Carolina State University",Vegetation Specification Suite (VegSpec),c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"Consistent technical expertise is lacking in the development of conservation practices for producers that need to implement emergency and disaster assistance conservation programs, as well as other voluntary conservation programs","Empowers producers to make informed decisions on plant materials used in their operations for conservation, disaster recovery, or production purposes. Consistent and tailored specifications with cost estimations.",,high_signal
64234,USDA,NETS automated waterway design,Spatial Front Incorporated,NRCS Engineering Tools Suite (NETS),a) Purchased from a vendor,Agentic AI,Surveying for and creating engineering designs for relatively simple practices is time consuming and limits getting programs implemented for producers in a timely manner,"Reduces producer wait times for practice designs, reduces time investment in simple engineering survey and designs, efficiently uses taxpayer resources.",,high_signal
64237,USDA,Annual Soil Refresh Data Staging Server Automation,UIPath Studio,UIPath Studio,a) Purchased from a vendor,Computer Vision,The process for adding new data to the Staging Server is repetitive and time consuming. We utilize the commercial software UIPath Studio with computer vision to automate this process.,Automates a portion of this process so that it can be done more efficiently and reduce the number of labor hours spent.,,high_signal
64253,USDA,Automated Road Mapping,RedCastle Resources,,c) Developed with both contracting and in-house resources,Computer Vision,"Road and trail maps are essential for effective fire response, forest management, and public safety in wildland areas. Unfortunately, many existing maps are outdated or incomplete. Forest Service employees currently rely on time-consuming and labor-intensive methods like GPS mapping.",Effective implementation may enable the Forest Service to more comprehensively manage road network data at lower cost. Improved data can increase safety on federal lands.,,high_signal
64255,USDA,Turbo plan,Wildfire.org,Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS),a) Purchased from a vendor,Generative AI,Accelerating environmental planning with tools and services to achieve the Wildfire Crisis Strategy with specific focus around National Environmental Policy Act planning and appraisal process optimization.,"Meet and exceed the Wildfire Crisis Strategy, accelerate the pace and scale of preparedness planning before a catastrophic wildfire, reduce the time and cost of planning, standardize the planning process, reduce planning barriers",,high_signal
64256,USDA,Forest Plan review and planning support,Google,Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS),a) Purchased from a vendor,Generative AI,Opportunity to increase business productivity related to forest plan reviews by analyzing data and information at a rapid pace,"Speeding up analysis of data, improving service for public, and mission area enablement.",,high_signal
64257,USDA,TreeSearch,Google,Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS),c) Developed with both contracting and in-house resources,Generative AI,"There is opportunity to streamline the usability of the US Forest Service (USFS) TreeSearch website, the primary database for Forest Service-sponsored research.","Currently, Forest Plan Revision team members would search the USFS TreeSearch database of over 60,000 documents manually to find relevant publications to support their work. This AI solution would expedite the team's research process by providing quick, accurate, and context-aware answers from multiple sources.",Aretec SEARCH (via 'SEARCH') | Aware Biometrics (via 'Aware'),high_signal
64258,USDA,Infosec Chatbot,Google,Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS),c) Developed with both contracting and in-house resources,Generative AI,Information Security AI is a Chatbot that uses generative artificial intelligence (AI) to support users by responding to questions on information security.,Decreases the time required to retrieve information from various National Institute of Standards and Technology (NIST) security publications.,,high_signal
64259,USDA,Bugnet,Oregon State University,,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"Detect and map locations of tree damage caused by insects and disease, separate from fire and harvest-caused damage.","The detection of forest damage using satellite imagery and AI is a safer, faster, and cost-efficient way to monitor forest conditions across entire states and in difficult to reach locations.",,high_signal
64260,USDA,Recreation site chatbot,University of Washington,,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),Estimating recreation use at recreation sites.,Addressing requirements of the federal Expanding Public Lands Outdoor Recreation Experiences (EXPLORE) Act.,,high_signal
64264,USDA,Forest Health Protection: Survey and mapping of forest damage from insects and diseases using machine learning,"Kikaha Solutions, LLC","Natural Resources and Environment (NRE) Forest Service (FS) Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS), USFS Geospatial Platform",c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Forest Health Protection is responsible for surveying ~500 million acres of forest for forest damage and mapping the risk of mortality from insects and diseases.,"Cost savings, increased work efficiency, expanded coverage over hard to reach locations",,high_signal
64273,USDA,Forest habitat mapping for marbled murrelets,American Museum of Natural History,,a) Purchased from a vendor,Classical/Predictive Machine Learning,Mapping marbled murrelet nesting habitat across the Pacific Northwest over the last 30+ years.,High accuracy maps that can be used by land managers for planning and monitoring requirements under the Northwest Forest Plan.,,high_signal
64274,USDA,Washington state forest inventory maps,University of Washington - Natural Resource Spatial Informatics Group,,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"The AI use case produces informational forest maps for the state of Washington, which may be used to support environmental monitoring and planning.",The AI system improves access and usability of forest data by creating informational maps for end users.,,high_signal
64281,USDA,Recreation One Stop use of AI,Booz Allen Hamilton,Recreation.gov,a) Purchased from a vendor,Generative AI,"There is an administrative burden in booking sites and planning trips to Forest Service land. Recreation One Stop is a tool to support bookings and provide alternatives where there is no availability, provide awareness via recommendations of various inventories to support trip planning, and to capture large amounts of content into a summarized version for easier readability within ratings and reviews.","Benefits to the public include improved customer service, increased occupancy rates at federal campgrounds, greater stewardship of natural resources and the environment, and removing barriers to the American public in support of Executive Order 14179.",Custom In-House AI (via 'Custom') | Aware Biometrics (via 'Aware'),high_signal
64288,USDA,VegScape/CropCASMA Data Portals,George Mason University,,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"Shows crop conditions and soil moisture availability, which serve as inputs to increase the quality of crop modeling","Supplements weekly Crop Progress and Condition Reports, provides direct input into disaster assessments on agriculture, and provides early disaster anomaly warnings",,high_signal
64293,USDA,Chatbot for IT Customer Help Desk,Steampunk,AgCloud,c) Developed with both contracting and in-house resources,Generative AI,The chatbot assists USDA staff with IT issues by answering common questions and initiating a support request if additional help is needed.,"Faster resolution of IT issues for customers, cost avoidance through fewer requests to helpdesk, decreased burden on helpdesk staff.",Custom In-House AI (via 'Custom'),high_signal
